num,text,team,time,deleted,scoreA,scoreB,quarter,logo,idPlayer,idLicense,idTeam,action,logParam1,logParam2,logParam3,logParam4,logParam5,logParam6,logParam7,logParam8,logParam9,logParam10,Position
521,Fin del Cuarto 4,,00:00,,,,4,,,,,period,4,1,,,,,,,,,
520,(SÚPER AGROPAL PALENCIA) O. GOMEZ FERNANDEZ: REBOTE (Rebotes: 1),1,00:04,,,,4,https://imagenes.feb.es/foto.aspx?c=2186516,2186516,10924126,981343,rebound,00000000-0000-0001-0000-000002486382,10924126,,,,,,,,,
519,(GRUPO URETA TIZONA BURGOS) J. ZIDEK: TIRO DE 3 FALLADO,2,00:04,,,,4,https://imagenes.feb.es/foto.aspx?c=2736183,2736183,10930097,979920,shoot,00000000-0000-0002-0000-000002486382,10930097,,0,1,3,,7,,,31.664317695484623|26.972362974133183
518,(SÚPER AGROPAL PALENCIA) A. WINTERING: TIRO DE 2 ANOTADO (Puntos: 6),1,00:15,,91,76,4,https://imagenes.feb.es/foto.aspx?c=2276415,2276415,10901166,981343,shoot,00000000-0000-0001-0000-000002486382,10901166,,1,1,2,,26,,,82.86318721934131|62.893496414427865
517,(GRUPO URETA TIZONA BURGOS) F. TERINS: FALTA Personal (Faltas: 4. Faltas de equipo: 21). Tiros libres: 0,2,00:28,,,,4,https://imagenes.feb.es/foto.aspx?c=2814906,2814906,10930096,979920,foul,00000000-0000-0002-0000-000002486382,10930096,1,10901167,1,0,0,,,1,
516,(GRUPO URETA TIZONA BURGOS) J. ZIDEK: TIRO DE 1 ANOTADO (Puntos: 6),2,00:51,,89,76,4,https://imagenes.feb.es/foto.aspx?c=2736183,2736183,10930097,979920,fthrow,00000000-0000-0002-0000-000002486382,10930097,1,1,,1,0,,,,
515,(GRUPO URETA TIZONA BURGOS) J. ZIDEK: TIRO DE 1 ANOTADO (Puntos: 5),2,00:51,,89,75,4,https://imagenes.feb.es/foto.aspx?c=2736183,2736183,10930097,979920,fthrow,00000000-0000-0002-0000-000002486382,10930097,0,1,,1,0,,,,
514,(SÚPER AGROPAL PALENCIA) J. VRANKIC: Sustitución (Sale de pista),1,00:51,,,,4,https://imagenes.feb.es/foto.aspx?c=2640789,2640789,10901168,981343,subst,00000000-0000-0001-0000-000002486382,10901168,,,,,,,,,
513,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: Sustitución (Entra a pista),1,00:51,,,,4,https://imagenes.feb.es/foto.aspx?c=2533871,2533871,10901167,981343,subst,00000000-0000-0001-0000-000002486382,,10901167,,,,,,,,
512,(SÚPER AGROPAL PALENCIA) J. VRANKIC: FALTA Personal (Faltas: 5. Faltas de equipo: 24). Tiros libres: 2,1,00:51,,,,4,https://imagenes.feb.es/foto.aspx?c=2640789,2640789,10901168,981343,foul,00000000-0000-0001-0000-000002486382,10901168,1,10930097,1,2,0,,,1,
511,(GRUPO URETA TIZONA BURGOS) F. TERINS: REBOTE (Rebotes: 4),2,01:07,,,,4,https://imagenes.feb.es/foto.aspx?c=2814906,2814906,10930096,979920,rebound,00000000-0000-0002-0000-000002486382,10930096,,,,,,,,,
510,(SÚPER AGROPAL PALENCIA) O. GOMEZ FERNANDEZ: TIRO DE 3 FALLADO,1,01:07,,,,4,https://imagenes.feb.es/foto.aspx?c=2186516,2186516,10924126,981343,shoot,00000000-0000-0001-0000-000002486382,10924126,,0,1,3,,16,,,79.12553061686852|8.19253962321888
509,(SÚPER AGROPAL PALENCIA) T. BORG: Sustitución (Sale de pista),1,01:20,,,,4,https://imagenes.feb.es/foto.aspx?c=2092465,2092465,10901160,981343,subst,00000000-0000-0001-0000-000002486382,10901160,,,,,,,,,
508,(SÚPER AGROPAL PALENCIA) O. GOMEZ FERNANDEZ: Sustitución (Entra a pista),1,01:20,,,,4,https://imagenes.feb.es/foto.aspx?c=2186516,2186516,10924126,981343,subst,00000000-0000-0001-0000-000002486382,,10924126,,,,,,,,
507,(GRUPO URETA TIZONA BURGOS) G. GIL GARCIA: ASISTENCIA (Asistencias: 3),2,01:27,,,,4,https://imagenes.feb.es/foto.aspx?c=1808439,1808439,10930102,979920,assist,00000000-0000-0002-0000-000002486382,10930102,,,,,,,,,
506,(GRUPO URETA TIZONA BURGOS) R. VILA SOLEY: TIRO DE 2 ANOTADO (Puntos: 5),2,01:27,,89,74,4,https://imagenes.feb.es/foto.aspx?c=1572466,1572466,10930093,979920,shoot,00000000-0000-0002-0000-000002486382,10930093,,1,1,2,,13,,,7.9689708213423245|46.634458646819596
505,(GRUPO URETA TIZONA BURGOS) G. GIL GARCIA: REBOTE (Rebotes: 5),2,01:34,,,,4,https://imagenes.feb.es/foto.aspx?c=1808439,1808439,10930102,979920,rebound,00000000-0000-0002-0000-000002486382,10930102,,,,,,,,,
504,(SÚPER AGROPAL PALENCIA) A. WINTERING: TIRO DE 2 FALLADO,1,01:34,,,,4,https://imagenes.feb.es/foto.aspx?c=2276415,2276415,10901166,981343,shoot,00000000-0000-0001-0000-000002486382,10901166,,0,1,2,,26,,,85.11989114909079|46.76049579844085
503,(GRUPO URETA TIZONA BURGOS) R. VILA SOLEY: ASISTENCIA (Asistencias: 4),2,01:44,,,,4,https://imagenes.feb.es/foto.aspx?c=1572466,1572466,10930093,979920,assist,00000000-0000-0002-0000-000002486382,10930093,,,,,,,,,
502,(GRUPO URETA TIZONA BURGOS) J. ZIDEK: TIRO DE 2 ANOTADO (Puntos: 4),2,01:44,,89,72,4,https://imagenes.feb.es/foto.aspx?c=2736183,2736183,10930097,979920,shoot,00000000-0000-0002-0000-000002486382,10930097,,1,1,2,,13,,,7.68688283012364|52.68433135360993
501,(GRUPO URETA TIZONA BURGOS) J. ZIDEK: REBOTE (Rebotes: 1),2,01:51,,,,4,https://imagenes.feb.es/foto.aspx?c=2736183,2736183,10930097,979920,rebound,00000000-0000-0002-0000-000002486382,10930097,,,,,,,,,
500,(GRUPO URETA TIZONA BURGOS) R. VILA SOLEY: TAPÓN (Tapones: 1),2,01:51,,,,4,https://imagenes.feb.es/foto.aspx?c=1572466,1572466,10930093,979920,blockshot,00000000-0000-0002-0000-000002486382,10930093,,,,,,,,,
499,(SÚPER AGROPAL PALENCIA) T. BORG: TIRO DE 2 FALLADO,1,01:51,,,,4,https://imagenes.feb.es/foto.aspx?c=2092465,2092465,10901160,981343,shoot,00000000-0000-0001-0000-000002486382,10901160,,0,1,2,,27,,,94.21721151413182|51.54997968018571
498,(SÚPER AGROPAL PALENCIA) A. WINTERING: REBOTE (Rebotes: 3),1,02:07,,,,4,https://imagenes.feb.es/foto.aspx?c=2276415,2276415,10901166,981343,rebound,00000000-0000-0001-0000-000002486382,10901166,,,,,,,,,
497,(SÚPER AGROPAL PALENCIA) T. BORG: TIRO DE 3 FALLADO,1,02:07,,,,4,https://imagenes.feb.es/foto.aspx?c=2092465,2092465,10901160,981343,shoot,00000000-0000-0001-0000-000002486382,10901160,,0,1,3,,17,,,67.84203033752937|47.76881032024381
496,(SÚPER AGROPAL PALENCIA) X. OROZ URIA: ROBO (Robos: 3),1,02:30,,,,4,https://imagenes.feb.es/foto.aspx?c=1750421,1750421,10901164,981343,recovery,00000000-0000-0001-0000-000002486382,10901164,,,,,,,,,
495,(GRUPO URETA TIZONA BURGOS) G. GIL GARCIA: PÉRDIDA (Pérdidas: 1),2,02:30,,,,4,https://imagenes.feb.es/foto.aspx?c=1808439,1808439,10930102,979920,lose,00000000-0000-0002-0000-000002486382,0,,10930102,,,,,,,
494,(GRUPO URETA TIZONA BURGOS) M. JACKSON: Sustitución (Sale de pista),2,02:44,,,,4,https://imagenes.feb.es/foto.aspx?c=2814904,2814904,10930095,979920,subst,00000000-0000-0002-0000-000002486382,10930095,,,,,,,,,
493,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: Sustitución (Sale de pista),1,02:44,,,,4,https://imagenes.feb.es/foto.aspx?c=2533871,2533871,10901167,981343,subst,00000000-0000-0001-0000-000002486382,10901167,,,,,,,,,
492,(SÚPER AGROPAL PALENCIA) A. WINTERING: Sustitución (Entra a pista),1,02:44,,,,4,https://imagenes.feb.es/foto.aspx?c=2276415,2276415,10901166,981343,subst,00000000-0000-0001-0000-000002486382,,10901166,,,,,,,,
491,(SÚPER AGROPAL PALENCIA) M. KAMBA: Sustitución (Sale de pista),1,02:44,,,,4,https://imagenes.feb.es/foto.aspx?c=2734950,2734950,10901162,981343,subst,00000000-0000-0001-0000-000002486382,10901162,,,,,,,,,
490,(SÚPER AGROPAL PALENCIA) J. VRANKIC: Sustitución (Entra a pista),1,02:44,,,,4,https://imagenes.feb.es/foto.aspx?c=2640789,2640789,10901168,981343,subst,00000000-0000-0001-0000-000002486382,,10901168,,,,,,,,
489,(GRUPO URETA TIZONA BURGOS) A. ALONSO RUIZ: Sustitución (Entra a pista),2,02:44,,,,4,https://imagenes.feb.es/foto.aspx?c=2325671,2325671,10930091,979920,subst,00000000-0000-0002-0000-000002486382,,10930091,,,,,,,,
488,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: PÉRDIDA (Pérdidas: 2),1,02:46,,,,4,https://imagenes.feb.es/foto.aspx?c=2533871,2533871,10901167,981343,lose,00000000-0000-0001-0000-000002486382,0,,10901167,,,,,,,
487,(GRUPO URETA TIZONA BURGOS) G. GIL GARCIA: TIRO DE 2 ANOTADO (Puntos: 8),2,02:50,,89,70,4,https://imagenes.feb.es/foto.aspx?c=1808439,1808439,10930102,979920,shoot,00000000-0000-0002-0000-000002486382,10930102,,1,1,2,,13,,,8.674189185271683|46.634458646819596
486,(SÚPER AGROPAL PALENCIA) T. BORG: TIRO DE 3 ANOTADO (Puntos: 19),1,02:56,,89,68,4,https://imagenes.feb.es/foto.aspx?c=2092465,2092465,10901160,981343,shoot,00000000-0000-0001-0000-000002486382,10901160,,1,1,3,,17,,,66.64316081367268|45.62614412501663
485,(SÚPER AGROPAL PALENCIA) S. UGOCHUKWU: REBOTE (Rebotes: 5),1,03:03,,,,4,https://imagenes.feb.es/foto.aspx?c=2738742,2738742,10901170,981343,rebound,00000000-0000-0001-0000-000002486382,10901170,,,,,,,,,
484,(GRUPO URETA TIZONA BURGOS) F. TERINS: TIRO DE 3 FALLADO,2,03:03,,,,4,https://imagenes.feb.es/foto.aspx?c=2814906,2814906,10930096,979920,shoot,00000000-0000-0002-0000-000002486382,10930096,,0,1,3,,10,,,32.651621629456635|49.28127633333728
483,(SÚPER AGROPAL PALENCIA) M. KAMBA: TIRO DE 3 FALLADO,1,03:25,,,,4,https://imagenes.feb.es/foto.aspx?c=2734950,2734950,10901162,981343,shoot,00000000-0000-0001-0000-000002486382,10901162,,0,1,3,,15,,,68.8293407279708|74.61513037314477
