p1m,p1a,p1p,p2m,p2a,p2p,p3m,p3a,p3p,fgm,fga,fgp,min,minFormatted,sta,bs,tc,mt,ro,rd,rt,rf,to,st,ind,pllss,val,assist,reb,pf,pts,inn,captain,id,no,name,logo,team_name
3,3,"100,0",2,6,"33,3",3,6,"50,0",5,12,"41,7",1248,20:48,,0,0,0,2,2,4,3,1,2,,12,18,2,4,1,16,1,0,2557970,0,D. CUEVAS SIMARRO,https://imagenes.feb.es/foto.aspx?c=2557970,LEYMA CORUÑA
0,2,"0,0",4,8,"50,0",1,5,"20,0",5,13,"38,5",1156,19:16,,0,0,0,3,4,7,3,3,2,,7,8,0,7,2,11,1,0,2651052,2,Y. MENCIA HERNANDEZ,https://imagenes.feb.es/foto.aspx?c=2651052,LEYMA CORUÑA
4,7,"57,1",1,3,"33,3",1,4,"25,0",2,7,"28,6",1241,20:41,,0,0,0,0,2,2,4,0,2,,1,9,0,2,0,9,0,0,2371535,4,P. JORGENSEN,https://imagenes.feb.es/foto.aspx?c=2371535,LEYMA CORUÑA
0,0,"0,0",1,2,"50,0",1,3,"33,3",2,5,"40,0",1301,21:41,,0,1,0,2,3,5,0,0,2,,-1,9,0,5,0,5,1,1,1491674,5,G. JOU COLL,https://imagenes.feb.es/foto.aspx?c=1491674,LEYMA CORUÑA
0,0,"0,0",1,1,"100,0",0,0,"0,0",1,1,"100,0",247,04:07,,0,0,0,1,1,2,0,0,0,,-4,2,0,2,2,2,0,0,2814191,6,M. BRAZ,https://imagenes.feb.es/foto.aspx?c=2814191,LEYMA CORUÑA
0,0,"0,0",4,8,"50,0",0,5,"0,0",4,13,"30,8",1260,21:00,,0,0,0,0,2,2,3,0,0,,6,6,5,2,3,8,0,0,2644143,9,C. DE SOUZA PACHECO,https://imagenes.feb.es/foto.aspx?c=2644143,LEYMA CORUÑA
0,0,"0,0",2,3,"66,7",2,3,"66,7",4,6,"66,7",1117,18:37,,0,0,1,1,1,2,1,1,0,,11,8,0,2,2,10,0,0,2814190,13,D. BRNOVIC,https://imagenes.feb.es/foto.aspx?c=2814190,LEYMA CORUÑA
3,5,"60,0",1,4,"25,0",0,3,"0,0",1,7,"14,3",1249,20:49,,3,1,0,1,5,6,4,1,0,,6,8,2,6,3,5,0,0,1848359,21,I. DIOP GAYE,https://imagenes.feb.es/foto.aspx?c=1848359,LEYMA CORUÑA
0,0,"0,0",0,0,"0,0",0,1,"0,0",0,1,"0,0",28,00:28,,0,0,0,0,0,0,0,1,0,,-2,-2,0,0,0,0,0,0,2039654,22,C. VARELA ROMERO,https://imagenes.feb.es/foto.aspx?c=2039654,LEYMA CORUÑA
0,0,"0,0",2,4,"50,0",0,3,"0,0",2,7,"28,6",1112,18:32,,0,0,0,0,0,0,1,0,2,,11,3,2,0,1,4,1,0,2452677,24,J. CREMO,https://imagenes.feb.es/foto.aspx?c=2452677,LEYMA CORUÑA
