num,text,team,time,deleted,scoreA,scoreB,quarter,logo,idPlayer,idLicense,idTeam,action,logParam1,logParam2,logParam3,logParam4,logParam5,logParam6,logParam7,logParam8,logParam9,logParam10,Position
521,Fin del Cuarto 4,,00:00,,,,4,,,,,period,4,1,,,,,,,,,
520,(MONBUS OBRADOIRO) R. ANDERSSON: REBOTE (Rebotes: 4),2,00:16,,,,4,https://imagenes.feb.es/foto.aspx?c=2524084,2524084,10906112,981421,rebound,00000000-0000-0002-0000-000002486366,10906112,,,,,,,,,
519,(PALMER BASKET MALLORCA PALMA) A. CHAPELA LAGE: TIRO DE 2 FALLADO,1,00:16,,,,4,https://imagenes.feb.es/foto.aspx?c=1197937,1197937,10881493,981215,shoot,00000000-0000-0001-0000-000002486366,10881493,,0,1,2,,26,,,83.21580084012871|39.70230856984755
518,(MONBUS OBRADOIRO) A. GRELA ROJAS: ASISTENCIA (Asistencias: 2),2,00:39,,,,4,https://imagenes.feb.es/foto.aspx?c=2533473,2533473,11130247,981421,assist,00000000-0000-0002-0000-000002486366,11130247,,,,,,,,,
517,(MONBUS OBRADOIRO) D. DE SOUSA ANJO BRITO: TIRO DE 2 ANOTADO (Puntos: 9),2,00:39,,45,115,4,https://imagenes.feb.es/foto.aspx?c=2528063,2528063,10906106,981421,shoot,00000000-0000-0002-0000-000002486366,10906106,,1,1,2,,9,,,27.2919610951231|62.263304886710614
516,(MONBUS OBRADOIRO) D. DE SOUSA ANJO BRITO: REBOTE (Rebotes: 8),2,00:53,,,,4,https://imagenes.feb.es/foto.aspx?c=2528063,2528063,10906106,981421,rebound,00000000-0000-0002-0000-000002486366,10906106,,,,,,,,,
515,(PALMER BASKET MALLORCA PALMA) A. URDIAIN LABAYEN: TIRO DE 3 FALLADO,1,00:53,,,,4,https://imagenes.feb.es/foto.aspx?c=1593686,1593686,10881494,981215,shoot,00000000-0000-0001-0000-000002486366,10881494,,0,1,3,,15,,,74.4005636239543|84.69825828234146
514,(MONBUS OBRADOIRO) A. ETXEGUREN GONZALEZ: PÉRDIDA (Pérdidas: 1),2,01:06,,,,4,https://imagenes.feb.es/foto.aspx?c=2082696,2082696,10906111,981421,lose,00000000-0000-0002-0000-000002486366,0,,10906111,,,,,,,
513,(PALMER BASKET MALLORCA PALMA)  Equipo: PÉRDIDA (Pérdidas: 5),1,01:30,,,,4,,,,981215,lose,00000000-0000-0001-0000-000002486366,1,12,,,,,,,,
512,(PALMER BASKET MALLORCA PALMA) A. IZAW BOLAVIE: TIRO DE 2 FALLADO,1,01:30,,,,4,https://imagenes.feb.es/foto.aspx?c=2812898,2812898,11139464,981215,shoot,00000000-0000-0001-0000-000002486366,11139464,,0,1,2,,22,,,84.48519437943676|25.964048452330225
