MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,PLAYER_ID,PLAYER,PLAYER_NAME,IS_STARTER,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS,TS%,eFG%,3PAr,FTr,PPS_2,PPS_3,FTA_PER_PFD,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
2486402,17,981203,INVEREADY GIPUZKOA,AWAY,2082685,M. Ansorregui Deba,M. Ansorregui Deba,1,30.1,1808.0,9.0,3.0,9.0,1.0,1.0,4.0,10.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,-10.0,45.0,45.0,10.0,0.0,0.7,3.0,0.0,0.0,9.5,4.7,11.9,1.9,3.8,9.1,18.1
2486402,17,981203,INVEREADY GIPUZKOA,AWAY,1822814,G. Maiza Apecechea,G. Maiza Apecechea,1,28.9,1733.0,6.0,0.0,2.0,2.0,4.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,2.0,0.0,2.0,4.0,6.0,8.0,2.0,50.0,50.0,66.7,0.0,0.0,1.5,0.0,0.0,9.9,4.9,24.7,3.9,0.0,40.0,17.1
2486402,17,981203,INVEREADY GIPUZKOA,AWAY,1988355,J. Nicolau Aledon,J. Nicolau Aledon,1,15.1,906.0,5.0,1.0,4.0,0.0,0.0,1.0,4.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,5.0,47.0,25.0,0.0,75.0,0.5,0.0,1.0,0.0,18.9,9.5,0.0,0.0,0.0,0.0,17.4
2486402,17,981203,INVEREADY GIPUZKOA,AWAY,2814207,T. Mcghie,T. Mcghie,1,30.8,1846.0,9.0,2.0,4.0,1.0,5.0,3.0,9.0,2.0,4.0,0.0,3.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,10.0,-11.0,41.8,38.9,55.6,44.4,1.0,0.6,2.0,0.0,13.9,7.0,11.2,3.6,3.7,0.0,17.3
2486402,17,981203,INVEREADY GIPUZKOA,AWAY,2813562,G. Korsantia,G. Korsantia,1,25.1,1504.0,5.0,2.0,7.0,0.0,0.0,2.0,7.0,1.0,2.0,1.0,4.0,5.0,3.0,4.0,4.0,0.0,1.0,2.0,2.0,7.0,-2.0,31.7,28.6,0.0,28.6,0.6,0.0,1.0,5.7,22.8,14.2,22.1,8.9,0.0,33.7,23.4
2486402,17,981203,INVEREADY GIPUZKOA,AWAY,2275973,I. Arroyo Varela,I. Arroyo Varela,0,4.8,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.3
2486403,17,981215,PALMER BASKET MALLORCA PALMA,HOME,2533643,H. Atencia Suarez,H. Atencia Suarez,0,29.1,1748.0,12.0,2.0,5.0,2.0,9.0,4.0,14.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,2.0,4.0,6.0,-10.0,39.2,35.7,64.3,21.4,0.8,0.7,0.8,0.0,0.0,0.0,34.5,0.0,0.0,6.1,26.6
2486403,17,981215,PALMER BASKET MALLORCA PALMA,HOME,2863891,P. Scrubb,P. Scrubb,1,35.9,2156.0,17.0,4.0,6.0,2.0,6.0,6.0,12.0,3.0,3.0,1.0,4.0,5.0,8.0,3.0,1.0,2.0,0.0,1.0,7.0,30.0,-14.0,63.8,58.3,50.0,25.0,1.3,1.0,0.4,3.0,16.7,8.7,54.1,1.5,5.1,18.4,21.6
2486403,17,981215,PALMER BASKET MALLORCA PALMA,HOME,2850268,D. Sanadze,D. Sanadze,1,33.2,1993.0,13.0,2.0,7.0,2.0,7.0,4.0,14.0,3.0,5.0,1.0,2.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,3.0,5.0,7.0,40.1,35.7,50.0,35.7,0.6,0.9,1.7,3.2,9.0,5.6,7.0,0.0,2.8,15.6,27.5
2486403,17,981215,PALMER BASKET MALLORCA PALMA,HOME,1593686,A. Urdiain Labayen,A. Urdiain Labayen,0,12.7,763.0,9.0,0.0,0.0,3.0,5.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,-6.0,90.0,90.0,100.0,0.0,0.0,1.8,0.0,0.0,11.8,4.9,0.0,0.0,0.0,16.7,22.4
2486403,17,981215,PALMER BASKET MALLORCA PALMA,HOME,1759354,G. Dike Egun,G. Dike Egun,0,17.1,1026.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,-3.0,83.3,83.3,66.7,0.0,2.0,1.5,0.0,0.0,35.1,14.6,23.8,0.0,0.0,0.0,8.3
2486403,17,981215,PALMER BASKET MALLORCA PALMA,HOME,1591996,J. Carralero Martin,J. Carralero Martin,1,21.1,1268.0,3.0,1.0,5.0,0.0,1.0,1.0,6.0,1.0,2.0,4.0,1.0,5.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,-3.0,21.8,16.7,16.7,33.3,0.4,0.0,2.0,20.3,7.1,14.8,0.0,0.0,8.7,12.7,17.7
2486403,17,981215,PALMER BASKET MALLORCA PALMA,HOME,1688669,J. Feliu Espejo,J. Feliu Espejo,1,13.1,783.0,5.0,1.0,2.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,62.5,62.5,50.0,0.0,1.0,1.5,0.0,8.2,0.0,4.8,0.0,0.0,0.0,0.0,14.5
