MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,POSS,PACE,O_RTG,D_RTG,NET_RTG,TS%,eFG%,TOV%,ORB%,DRB%,TRB%,AST_TOV_RATIO,FTr,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS
2486352,11,981343,SÚPER AGROPAL PALENCIA,HOME,72.8,71.1,88.0,109.4,-21.4,39.1,35.5,9.9,37.5,53.3,43.6,0.7,42.0,200,12000.0,64.0,17.0,49.0,5.0,20.0,22.0,69.0,15.0,29.0,18.0,16.0,34.0,6.0,9.0,7.0,2.0,4.0,19.0,25.0,49.0,-60.0
2486353,11,979907,GRUPO ALEGA CANTABRIA,HOME,70.2,70.7,118.2,112.6,5.6,66.7,64.2,16.2,19.0,74.2,51.9,1.7,39.6,200,12000.0,83.0,19.0,29.0,10.0,24.0,29.0,53.0,15.0,21.0,4.0,23.0,27.0,20.0,12.0,7.0,1.0,4.0,19.0,21.0,98.0,15.0
2486353,11,981300,HESTIA MENORCA,AWAY,71.0,70.6,112.6,118.2,-5.6,57.1,54.8,11.4,25.8,81.0,48.1,1.8,25.4,200,12000.0,80.0,18.0,36.0,11.0,27.0,29.0,63.0,11.0,16.0,8.0,17.0,25.0,16.0,9.0,5.0,4.0,1.0,21.0,18.0,79.0,-15.0
2486354,11,981125,CAJA RURAL CB ZAMORA,HOME,73.4,72.7,94.1,112.4,-18.3,53.6,47.3,21.9,31.0,55.3,44.8,0.6,33.9,200,12000.0,69.0,19.0,38.0,5.0,18.0,24.0,56.0,16.0,19.0,9.0,21.0,30.0,11.0,18.0,5.0,3.0,0.0,19.0,22.0,68.0,-60.0
2486354,11,980004,LEYMA CORUÑA,AWAY,72.0,72.7,112.4,94.1,18.3,51.2,47.2,11.2,44.7,69.0,55.2,1.8,22.2,200,12000.0,81.0,22.0,41.0,8.0,31.0,30.0,72.0,13.0,16.0,17.0,20.0,37.0,18.0,10.0,9.0,0.0,3.0,22.0,19.0,87.0,60.0
2486355,11,981214,FIBWI MALLORCA BASQUET PALMA,AWAY,80.4,79.8,98.2,91.0,7.2,51.7,50.8,19.9,50.0,72.2,62.1,0.5,40.0,200,12000.0,79.0,27.0,44.0,4.0,21.0,31.0,65.0,13.0,26.0,15.0,26.0,41.0,9.0,19.0,7.0,2.0,0.0,21.0,21.0,72.0,35.0
2486355,11,979769,MELILLA CIUDAD DEL DEPORTE,HOME,79.1,79.8,91.0,98.2,-7.2,48.6,45.3,16.8,27.8,50.0,37.9,1.0,35.9,200,12000.0,72.0,20.0,40.0,6.0,24.0,26.0,64.0,14.0,23.0,10.0,15.0,25.0,15.0,15.0,10.0,0.0,2.0,21.0,20.0,59.0,-35.0
2486357,12,981525,FLEXICAR FUENLABRADA,AWAY,75.9,75.7,113.3,120.4,-7.1,57.4,53.0,10.7,25.8,82.1,52.5,2.2,26.9,200,12000.0,86.0,19.0,36.0,11.0,31.0,30.0,67.0,15.0,18.0,8.0,23.0,31.0,20.0,9.0,7.0,1.0,2.0,21.0,22.0,97.0,-25.0
2486357,12,979989,HLA ALICANTE,HOME,75.6,75.7,120.4,113.3,7.1,65.4,58.5,13.7,17.9,74.2,47.5,2.1,40.7,200,12000.0,91.0,15.0,27.0,13.0,32.0,28.0,59.0,22.0,24.0,5.0,23.0,28.0,23.0,11.0,5.0,2.0,1.0,22.0,20.0,103.0,25.0
2486358,12,981214,FIBWI MALLORCA BASQUET PALMA,HOME,76.6,76.7,112.2,121.1,-8.9,66.5,61.8,18.8,14.3,55.9,40.0,1.1,60.8,200,12000.0,86.0,18.0,24.0,9.0,27.0,27.0,51.0,23.0,31.0,3.0,19.0,22.0,16.0,15.0,10.0,3.0,1.0,24.0,24.0,90.0,-35.0
