p1m,p1a,p1p,p2m,p2a,p2p,p3m,p3a,p3p,fgm,fga,fgp,min,minFormatted,sta,bs,tc,mt,ro,rd,rt,rf,to,st,ind,pllss,val,assist,reb,pf,pts,inn,captain,id,no,name,logo,team_name
0,0,"0,0",0,0,"0,0",2,4,"50,0",2,4,"50,0",1188,19:48,,2,0,0,0,4,4,1,0,0,,0,10,0,4,1,6,0,0,1878729,0,J. GODSPOWER JOHNSON,https://imagenes.feb.es/foto.aspx?c=1878729,MELILLA CIUDAD DEL DEPORTE
2,2,"100,0",5,10,"50,0",0,2,"0,0",5,12,"41,7",979,16:19,,0,0,1,1,9,10,1,2,0,,-7,12,0,10,2,12,1,0,2451278,1,D. POIRIER,https://imagenes.feb.es/foto.aspx?c=2451278,MELILLA CIUDAD DEL DEPORTE
0,0,"0,0",0,0,"0,0",0,0,"0,0",0,0,"0,0",0,00:00,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2814862,4,S. PENO,https://imagenes.feb.es/foto.aspx?c=2814862,MELILLA CIUDAD DEL DEPORTE
2,4,"50,0",4,5,"80,0",2,6,"33,3",6,11,"54,5",1423,23:43,,0,0,0,1,1,2,2,1,0,,-1,8,1,2,5,16,1,0,2819191,5,M. HERON,https://imagenes.feb.es/foto.aspx?c=2819191,MELILLA CIUDAD DEL DEPORTE
0,0,"0,0",2,2,"100,0",2,4,"50,0",4,6,"66,7",1227,20:27,,0,0,0,2,2,4,3,1,1,,-2,13,3,4,5,10,1,0,1677841,7,P. CORDOBA MURO,https://imagenes.feb.es/foto.aspx?c=1677841,MELILLA CIUDAD DEL DEPORTE
2,2,"100,0",1,6,"16,7",4,6,"66,7",5,12,"41,7",1651,27:31,,0,0,0,1,8,9,1,2,0,,-3,17,3,9,3,16,1,0,1382710,9,I. CRUZ UCEDA,https://imagenes.feb.es/foto.aspx?c=1382710,MELILLA CIUDAD DEL DEPORTE
0,0,"0,0",0,0,"0,0",0,0,"0,0",0,0,"0,0",777,12:57,,0,0,0,1,0,1,0,0,0,,-10,1,0,1,0,0,0,0,2734873,12,P. KRUTOUS,https://imagenes.feb.es/foto.aspx?c=2734873,MELILLA CIUDAD DEL DEPORTE
1,1,"100,0",1,1,"100,0",0,0,"0,0",1,1,"100,0",982,16:22,,0,0,0,1,1,2,1,1,0,,-9,3,0,2,2,3,0,0,2647156,21,L. DEBAUT,https://imagenes.feb.es/foto.aspx?c=2647156,MELILLA CIUDAD DEL DEPORTE
2,2,"100,0",0,1,"0,0",1,3,"33,3",1,4,"25,0",1488,24:48,,0,0,0,1,1,2,4,2,0,,-5,7,2,2,1,5,1,1,1251001,22,C. DIAZ RODRIGUEZ,https://imagenes.feb.es/foto.aspx?c=1251001,MELILLA CIUDAD DEL DEPORTE
0,0,"0,0",0,0,"0,0",0,0,"0,0",0,0,"0,0",0,00:00,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2734242,33,M. STILMA,https://imagenes.feb.es/foto.aspx?c=2734242,MELILLA CIUDAD DEL DEPORTE
0,0,"0,0",0,0,"0,0",2,5,"40,0",2,5,"40,0",1244,20:44,,0,0,0,0,1,1,1,1,2,,4,4,3,1,5,6,0,0,1978541,44,J. GARCIA SANCHEZ,https://imagenes.feb.es/foto.aspx?c=1978541,MELILLA CIUDAD DEL DEPORTE
0,0,"0,0",2,4,"50,0",2,4,"50,0",4,8,"50,0",1041,17:21,,0,0,0,0,0,0,4,3,0,,-2,7,1,0,1,10,0,0,1373532,50,S. RODRIGUEZ FEBLES,https://imagenes.feb.es/foto.aspx?c=1373532,MELILLA CIUDAD DEL DEPORTE
2,2,"100,0",0,0,"0,0",0,1,"0,0",0,1,"0,0",415,06:55,,0,0,0,0,1,1,1,0,0,,2,3,0,1,0,2,0,0,2862304,1,C. POLYNICE,https://imagenes.feb.es/foto.aspx?c=2862304,GRUPO CAESA SEGUROS FC CARTAGENA CB
5,6,"83,3",5,6,"83,3",1,3,"33,3",6,9,"66,7",1502,25:02,,0,0,0,1,2,3,4,0,0,,2,18,1,3,4,18,1,0,2159336,2,A. GARUBA ALARI,https://imagenes.feb.es/foto.aspx?c=2159336,GRUPO CAESA SEGUROS FC CARTAGENA CB
2,4,"50,0",2,3,"66,7",3,5,"60,0",5,8,"62,5",1469,24:29,,0,0,0,0,1,1,5,3,1,,3,13,2,1,3,15,1,0,2816796,4,I. RIVERA CARROLL,https://imagenes.feb.es/foto.aspx?c=2816796,GRUPO CAESA SEGUROS FC CARTAGENA CB
0,0,"0,0",2,3,"66,7",0,2,"0,0",2,5,"40,0",1354,22:34,,0,0,0,0,2,2,2,1,1,,2,5,3,2,3,4,0,1,1384223,5,A. MARTIN MARIN,https://imagenes.feb.es/foto.aspx?c=1384223,GRUPO CAESA SEGUROS FC CARTAGENA CB
