p1m,p1a,p1p,p2m,p2a,p2p,p3m,p3a,p3p,fgm,fga,fgp,min,minFormatted,sta,bs,tc,mt,ro,rd,rt,rf,to,st,ind,pllss,val,assist,reb,pf,pts,inn,captain,id,no,name,logo,team_name
0,0,"0,0",4,4,"100,0",0,0,"0,0",4,4,"100,0",1210,20:10,,0,0,0,2,1,3,3,1,1,,15,24,10,3,0,8,0,0,2557970,0,D. CUEVAS SIMARRO,https://imagenes.feb.es/foto.aspx?c=2557970,LEYMA CORUÑA
0,0,"0,0",4,5,"80,0",2,4,"50,0",6,9,"66,7",1190,19:50,,0,0,0,0,2,2,0,3,1,,20,13,4,2,2,14,1,0,2371535,4,P. JORGENSEN,https://imagenes.feb.es/foto.aspx?c=2371535,LEYMA CORUÑA
2,2,"100,0",0,1,"0,0",0,2,"0,0",0,3,"0,0",1130,18:50,,0,0,0,1,3,4,1,0,1,,21,6,1,4,0,2,1,1,1491674,5,G. JOU COLL,https://imagenes.feb.es/foto.aspx?c=1491674,LEYMA CORUÑA
0,0,"0,0",1,1,"100,0",0,1,"0,0",1,2,"50,0",387,06:27,,0,0,0,0,0,0,0,0,0,,4,0,0,0,1,2,0,0,2814191,6,M. BRAZ,https://imagenes.feb.es/foto.aspx?c=2814191,LEYMA CORUÑA
4,4,"100,0",3,5,"60,0",1,1,"100,0",4,6,"66,7",969,16:09,,0,0,0,0,7,7,4,0,0,,26,20,1,7,3,13,1,0,2843861,8,D. RADONCIC,https://imagenes.feb.es/foto.aspx?c=2843861,LEYMA CORUÑA
0,0,"0,0",3,5,"60,0",2,4,"50,0",5,9,"55,6",1190,19:50,,0,0,0,0,2,2,1,1,0,,20,17,9,2,2,12,1,0,2644143,9,C. DE SOUZA PACHECO,https://imagenes.feb.es/foto.aspx?c=2644143,LEYMA CORUÑA
2,4,"50,0",1,1,"100,0",1,2,"50,0",2,3,"66,7",693,11:33,,0,0,0,1,0,1,2,0,1,,11,7,0,1,1,7,0,0,2814190,13,D. BRNOVIC,https://imagenes.feb.es/foto.aspx?c=2814190,LEYMA CORUÑA
0,0,"0,0",1,5,"20,0",0,1,"0,0",1,6,"16,7",1103,18:23,,0,1,0,0,6,6,1,1,0,,10,3,2,6,2,2,1,0,1848359,21,I. DIOP GAYE,https://imagenes.feb.es/foto.aspx?c=1848359,LEYMA CORUÑA
3,4,"75,0",0,1,"0,0",4,6,"66,7",4,7,"57,1",1210,20:10,,0,0,0,0,1,1,2,1,1,,15,14,1,1,1,15,0,0,2452677,24,J. CREMO,https://imagenes.feb.es/foto.aspx?c=2452677,LEYMA CORUÑA
3,5,"60,0",4,4,"100,0",0,0,"0,0",4,4,"100,0",813,13:33,,0,0,0,0,1,1,2,0,0,,6,12,0,1,0,11,0,0,2862313,34,S. BARRO,https://imagenes.feb.es/foto.aspx?c=2862313,LEYMA CORUÑA
2,2,"100,0",2,5,"40,0",0,0,"0,0",2,5,"40,0",1154,19:14,,0,0,1,1,4,5,2,2,4,,20,11,2,5,3,6,0,0,2815798,44,A. THIAM,https://imagenes.feb.es/foto.aspx?c=2815798,LEYMA CORUÑA
2,2,"100,0",1,1,"100,0",2,3,"66,7",3,4,"75,0",951,15:51,,0,0,0,1,0,1,2,0,1,,7,12,1,1,2,10,0,0,1541543,50,J. DIAZ ALEJANO,https://imagenes.feb.es/foto.aspx?c=1541543,LEYMA CORUÑA
0,0,"0,0",0,1,"0,0",0,4,"0,0",0,5,"0,0",758,12:38,,0,0,0,0,0,0,0,3,2,,-12,-6,2,0,2,0,0,0,2334516,2,J. POWELL,https://imagenes.feb.es/foto.aspx?c=2334516,GRUPO ALEGA CANTABRIA
0,0,"0,0",1,2,"50,0",0,0,"0,0",1,2,"50,0",606,10:06,,0,0,0,1,0,1,0,2,1,,-11,-1,0,1,2,2,0,0,1899194,6,C. TABOADA HEISKANEN,https://imagenes.feb.es/foto.aspx?c=1899194,GRUPO ALEGA CANTABRIA
1,2,"50,0",2,2,"100,0",1,1,"100,0",3,3,"100,0",1452,24:12,,0,0,0,0,3,3,3,2,0,,-14,9,1,3,3,8,1,0,841966,8,S. RODRÍGUEZ RAMOS,https://imagenes.feb.es/foto.aspx?c=841966,GRUPO ALEGA CANTABRIA
4,6,"66,7",1,4,"25,0",0,3,"0,0",1,7,"14,3",1356,22:36,,0,0,1,1,4,5,6,1,0,,-25,7,0,5,1,6,0,0,2481151,9,B. LUGARINI,https://imagenes.feb.es/foto.aspx?c=2481151,GRUPO ALEGA CANTABRIA
0,0,"0,0",0,1,"0,0",2,2,"100,0",2,3,"66,7",1095,18:15,,1,0,0,0,2,2,1,2,0,,-17,5,1,2,3,6,0,1,1821694,10,G. MARTINEZ DIAZ,https://imagenes.feb.es/foto.aspx?c=1821694,GRUPO ALEGA CANTABRIA
0,0,"0,0",0,1,"0,0",0,0,"0,0",0,1,"0,0",909,15:09,,0,0,0,0,4,4,0,2,1,,-11,0,0,4,2,0,0,0,1676845,12,D. ALDERETE DIAZ,https://imagenes.feb.es/foto.aspx?c=1676845,GRUPO ALEGA CANTABRIA
2,2,"100,0",0,3,"0,0",2,3,"66,7",2,6,"33,3",1100,18:20,,0,0,0,0,2,2,2,0,0,,-24,6,0,2,2,8,1,0,1442713,15,P. HERNANDEZ MONTENEGRO,https://imagenes.feb.es/foto.aspx?c=1442713,GRUPO ALEGA CANTABRIA
0,0,"0,0",0,0,"0,0",0,0,"0,0",0,0,"0,0",0,00:00,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2173109,21,B. DE LA LLAMA RUIZ,https://imagenes.feb.es/foto.aspx?c=2173109,GRUPO ALEGA CANTABRIA
0,2,"0,0",3,4,"75,0",2,5,"40,0",5,9,"55,6",1328,22:08,,0,0,0,0,2,2,2,0,0,,-13,10,2,2,2,12,1,0,2815518,23,C. LUTETE IV,https://imagenes.feb.es/foto.aspx?c=2815518,GRUPO ALEGA CANTABRIA
1,1,"100,0",6,9,"66,7",2,4,"50,0",8,13,"61,5",1856,30:56,,0,0,0,0,0,0,3,3,2,,-26,21,6,0,1,19,1,0,2274998,32,R. JOHNSON JR,https://imagenes.feb.es/foto.aspx?c=2274998,GRUPO ALEGA CANTABRIA
0,0,"0,0",3,6,"50,0",0,0,"0,0",3,6,"50,0",1540,25:40,,0,0,0,1,3,4,0,0,0,,-22,6,1,4,2,6,1,0,2446696,34,G. KANDE KIELI,https://imagenes.feb.es/foto.aspx?c=2446696,GRUPO ALEGA CANTABRIA
