p1m,p1a,p1p,p2m,p2a,p2p,p3m,p3a,p3p,fgm,fga,fgp,min,minFormatted,sta,bs,tc,mt,ro,rd,rt,rf,to,st,ind,pllss,val,assist,reb,pf,pts,inn,captain,id,no,name,logo,team_name
0,0,"0,0",2,5,"40,0",0,2,"0,0",2,7,"28,6",1164,19:24,,0,1,0,0,1,1,0,5,0,,-5,-5,2,1,2,4,1,,2816798,1,S. THOMAS,https://imagenes.feb.es/foto.aspx?c=2816798,GRUPO CAESA SEGUROS FC CARTAGENA CB
0,0,"0,0",3,8,"37,5",0,1,"0,0",3,9,"33,3",1037,17:17,,0,0,0,4,3,7,2,4,1,,-1,4,0,7,2,6,1,,2159336,2,A. GARUBA ALARI,https://imagenes.feb.es/foto.aspx?c=2159336,GRUPO CAESA SEGUROS FC CARTAGENA CB
4,4,"100,0",1,1,"100,0",0,2,"0,0",1,3,"33,3",460,07:40,,0,0,0,0,0,0,5,0,0,,-9,9,0,0,0,6,0,,2816854,3,T. SUOKAS,https://imagenes.feb.es/foto.aspx?c=2816854,GRUPO CAESA SEGUROS FC CARTAGENA CB
4,6,"66,7",2,3,"66,7",0,2,"0,0",2,5,"40,0",1850,30:50,,0,0,0,0,6,6,4,2,1,,9,13,1,6,0,8,1,,2816796,4,I. RIVERA CARROLL,https://imagenes.feb.es/foto.aspx?c=2816796,GRUPO CAESA SEGUROS FC CARTAGENA CB
2,2,"100,0",2,2,"100,0",0,1,"0,0",2,3,"66,7",818,13:38,,0,0,0,0,0,0,3,2,1,,16,11,4,0,0,6,0,,1384223,5,A. MARTIN MARIN,https://imagenes.feb.es/foto.aspx?c=1384223,GRUPO CAESA SEGUROS FC CARTAGENA CB
0,0,"0,0",0,0,"0,0",0,0,"0,0",0,0,"0,0",0,00:00,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,2064697,8,D. YAÑEZ GAMBIN,https://imagenes.feb.es/foto.aspx?c=2064697,GRUPO CAESA SEGUROS FC CARTAGENA CB
0,2,"0,0",3,5,"60,0",0,0,"0,0",3,5,"60,0",1111,18:31,,2,0,1,3,4,7,1,1,0,,2,9,0,7,2,6,1,,2525411,11,E. IDEHEN IDEHEN,https://imagenes.feb.es/foto.aspx?c=2525411,GRUPO CAESA SEGUROS FC CARTAGENA CB
0,0,"0,0",1,1,"100,0",0,3,"0,0",1,4,"25,0",1400,23:20,,1,0,1,1,1,2,1,1,0,,3,0,0,2,2,2,0,,1923881,12,A. DOMENECH FONTANA,https://imagenes.feb.es/foto.aspx?c=1923881,GRUPO CAESA SEGUROS FC CARTAGENA CB
1,2,"50,0",4,6,"66,7",1,1,"100,0",5,7,"71,4",1262,21:02,,0,0,1,2,10,12,5,5,0,,0,17,0,12,4,12,0,,2820135,13,V. FAVERANI TATSCH,https://imagenes.feb.es/foto.aspx?c=2820135,GRUPO CAESA SEGUROS FC CARTAGENA CB
0,0,"0,0",0,0,"0,0",1,1,"100,0",1,1,"100,0",489,08:09,,0,0,0,1,0,1,0,2,0,,-7,2,1,1,1,3,0,,1997544,19,A. HARGUINDEY MANEIRO,https://imagenes.feb.es/foto.aspx?c=1997544,GRUPO CAESA SEGUROS FC CARTAGENA CB
6,7,"85,7",1,2,"50,0",1,3,"33,3",2,5,"40,0",1409,23:29,,0,0,0,0,0,0,4,2,1,,3,7,1,0,4,11,0,,2816849,20,S. SVEJCAR,https://imagenes.feb.es/foto.aspx?c=2816849,GRUPO CAESA SEGUROS FC CARTAGENA CB
3,4,"75,0",1,3,"33,3",1,2,"50,0",2,5,"40,0",1000,16:40,,0,0,0,0,4,4,3,1,0,,-1,5,0,4,5,8,1,,2816848,23,A. KELLY,https://imagenes.feb.es/foto.aspx?c=2816848,GRUPO CAESA SEGUROS FC CARTAGENA CB
0,0,"0,0",1,2,"50,0",0,0,"0,0",1,2,"50,0",601,10:01,,1,1,0,1,0,1,0,1,0,,-4,2,1,1,1,2,0,,2788739,1,L. SMITH,https://imagenes.feb.es/foto.aspx?c=2788739,FIBWI MALLORCA BASQUET PALMA 
