p1m,p1a,p1p,p2m,p2a,p2p,p3m,p3a,p3p,fgm,fga,fgp,min,minFormatted,sta,bs,tc,mt,ro,rd,rt,rf,to,st,ind,pllss,val,assist,reb,pf,pts,inn,captain,id,no,name,logo,team_name
2,5,"40,0",2,2,"100,0",0,0,"0,0",2,2,"100,0",712,11:52,,1,0,0,0,1,1,3,2,0,,-3,3,0,1,3,6,1,0,2640663,0,A. NGOM,https://imagenes.feb.es/foto.aspx?c=2640663,INVEREADY GIPUZKOA
0,0,"0,0",0,1,"0,0",0,2,"0,0",0,3,"0,0",430,07:10,,0,0,0,0,0,0,0,1,0,,-14,-5,0,0,1,0,0,0,2813563,1,L. TERRY,https://imagenes.feb.es/foto.aspx?c=2813563,INVEREADY GIPUZKOA
0,2,"0,0",1,2,"50,0",2,7,"28,6",3,9,"33,3",1454,24:14,,0,0,1,2,2,4,1,0,2,,-2,6,1,4,2,8,1,0,2678649,2,O. HANZLIK,https://imagenes.feb.es/foto.aspx?c=2678649,INVEREADY GIPUZKOA
0,0,"0,0",1,1,"100,0",1,3,"33,3",2,4,"50,0",895,14:55,,0,0,0,0,1,1,2,4,0,,-9,0,1,1,3,5,1,1,1749125,6,A. ZUBIZARRETA ARANBARRI,https://imagenes.feb.es/foto.aspx?c=1749125,INVEREADY GIPUZKOA
0,0,"0,0",0,1,"0,0",1,3,"33,3",1,4,"25,0",894,14:54,,0,0,0,0,0,0,0,0,1,,-14,-1,1,0,3,3,0,0,1447983,9,M. MOTOS CABODEVILLA,https://imagenes.feb.es/foto.aspx?c=1447983,INVEREADY GIPUZKOA
0,0,"0,0",0,0,"0,0",1,2,"50,0",1,2,"50,0",1361,22:41,,0,0,0,0,3,3,0,1,0,,0,4,0,3,0,3,1,0,2082685,10,M. ANSORREGUI DEBA,https://imagenes.feb.es/foto.aspx?c=2082685,INVEREADY GIPUZKOA
1,1,"100,0",3,4,"75,0",7,16,"43,8",10,20,"50,0",1745,29:05,,0,0,0,0,4,4,5,1,1,,6,28,4,4,3,28,0,0,1822814,11,G. MAIZA APECECHEA,https://imagenes.feb.es/foto.aspx?c=1822814,INVEREADY GIPUZKOA
3,5,"60,0",4,6,"66,7",0,0,"0,0",4,6,"66,7",1579,26:19,,2,2,1,3,0,3,4,1,2,,1,16,0,3,1,11,0,0,1988355,12,J. NICOLAU ALEDON,https://imagenes.feb.es/foto.aspx?c=1988355,INVEREADY GIPUZKOA
0,0,"0,0",0,0,"0,0",0,0,"0,0",0,0,"0,0",0,00:00,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2814207,13,T. MCGHIE,https://imagenes.feb.es/foto.aspx?c=2814207,INVEREADY GIPUZKOA
0,0,"0,0",2,4,"50,0",1,1,"100,0",3,5,"60,0",1065,17:45,,0,0,0,3,3,6,1,1,1,,5,10,2,6,4,7,0,0,2813562,22,G. KORSANTIA,https://imagenes.feb.es/foto.aspx?c=2813562,INVEREADY GIPUZKOA
1,1,"100,0",2,2,"100,0",2,12,"16,7",4,14,"28,6",1691,28:11,,0,0,0,2,2,4,2,1,3,,9,9,3,4,3,11,1,0,2275973,24,I. ARROYO VARELA,https://imagenes.feb.es/foto.aspx?c=2275973,INVEREADY GIPUZKOA
0,0,"0,0",0,0,"0,0",0,1,"0,0",0,1,"0,0",174,02:54,,0,0,0,0,0,0,0,1,0,,1,-5,0,0,3,0,0,0,1535344,33,I. ROSA POMPIDO,https://imagenes.feb.es/foto.aspx?c=1535344,INVEREADY GIPUZKOA
2,2,"100,0",2,4,"50,0",4,6,"66,7",6,10,"60,0",1744,29:04,,0,0,0,0,0,0,1,2,0,,-3,11,1,0,3,18,1,0,2814246,3,C. ROGERS,https://imagenes.feb.es/foto.aspx?c=2814246,CAJA RURAL CB ZAMORA
13,13,"100,0",3,6,"50,0",1,7,"14,3",4,13,"30,8",1378,22:58,,0,0,0,1,4,5,7,5,0,,0,16,0,5,4,22,0,0,1702420,9,J. PERIS CRESPO,https://imagenes.feb.es/foto.aspx?c=1702420,CAJA RURAL CB ZAMORA
