p1m,p1a,p1p,p2m,p2a,p2p,p3m,p3a,p3p,fgm,fga,fgp,min,minFormatted,sta,bs,tc,mt,ro,rd,rt,rf,to,st,ind,pllss,val,assist,reb,pf,pts,inn,captain,id,no,name,logo,team_name
0,0,"0,0",3,3,"100,0",0,2,"0,0",3,5,"60,0",1569,26:09,,2,0,0,1,3,4,2,0,0,,9,9,1,4,4,6,1,0,2819338,3,K. SMITH,https://imagenes.feb.es/foto.aspx?c=2819338,CLOUD.GAL OURENSE BALONCESTO 
3,3,"100,0",3,7,"42,9",0,0,"0,0",3,7,"42,9",760,12:40,,0,0,0,1,0,1,2,0,0,,-2,4,1,1,5,9,0,0,2819330,9,C. OKANU,https://imagenes.feb.es/foto.aspx?c=2819330,CLOUD.GAL OURENSE BALONCESTO 
0,1,"0,0",3,5,"60,0",0,1,"0,0",3,6,"50,0",1096,18:16,,0,0,0,0,1,1,7,0,2,,5,14,5,1,3,6,0,0,1778999,10,I. VAZQUEZ PEREZ,https://imagenes.feb.es/foto.aspx?c=1778999,CLOUD.GAL OURENSE BALONCESTO 
0,0,"0,0",0,0,"0,0",0,0,"0,0",0,0,"0,0",0,00:00,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1886852,11,M. FERNANDEZ CARBALLO,https://imagenes.feb.es/foto.aspx?c=1886852,CLOUD.GAL OURENSE BALONCESTO 
0,2,"0,0",0,1,"0,0",0,2,"0,0",0,3,"0,0",489,08:09,,0,0,0,0,0,0,2,2,0,,-8,-6,0,0,1,0,0,0,1765084,12,S. HUGUET CARRASCO,https://imagenes.feb.es/foto.aspx?c=1765084,CLOUD.GAL OURENSE BALONCESTO 
6,7,"85,7",5,10,"50,0",2,8,"25,0",7,18,"38,9",2172,36:12,,1,0,0,1,2,3,4,2,0,,10,16,1,3,1,22,1,0,2819327,22,G. KALSCHEUR,https://imagenes.feb.es/foto.aspx?c=2819327,CLOUD.GAL OURENSE BALONCESTO 
0,2,"0,0",2,2,"100,0",0,2,"0,0",2,4,"50,0",765,12:45,,0,0,0,0,1,1,1,0,1,,-5,1,0,1,2,4,0,0,2819332,23,D. SARAIVA SEIXAS,https://imagenes.feb.es/foto.aspx?c=2819332,CLOUD.GAL OURENSE BALONCESTO 
0,0,"0,0",3,4,"75,0",1,1,"100,0",4,5,"80,0",1875,31:15,,0,0,0,3,4,7,2,1,0,,16,18,3,7,1,9,1,0,2781800,24,S. MC DONNELL,https://imagenes.feb.es/foto.aspx?c=2781800,CLOUD.GAL OURENSE BALONCESTO 
2,2,"100,0",1,1,"100,0",0,0,"0,0",1,1,"100,0",680,11:20,,1,0,0,1,2,3,1,1,0,,-2,8,0,3,0,4,0,0,1863291,27,M. IGLESIAS FERNANDEZ,https://imagenes.feb.es/foto.aspx?c=1863291,CLOUD.GAL OURENSE BALONCESTO 
4,4,"100,0",2,4,"50,0",0,1,"0,0",2,5,"40,0",1426,23:46,,0,0,0,2,0,2,2,2,0,,-3,11,5,2,1,8,1,1,2650871,28,R. DIAS MARQUES LISBOA SANTOS,https://imagenes.feb.es/foto.aspx?c=2650871,CLOUD.GAL OURENSE BALONCESTO 
3,4,"75,0",5,8,"62,5",0,0,"0,0",5,8,"62,5",1168,19:28,,0,0,2,0,8,8,2,1,0,,10,14,0,8,4,13,1,0,2654188,35,R. GILL,https://imagenes.feb.es/foto.aspx?c=2654188,CLOUD.GAL OURENSE BALONCESTO 
1,2,"50,0",0,2,"0,0",0,0,"0,0",0,2,"0,0",1019,16:59,,0,1,0,0,1,1,2,1,0,,3,-1,0,1,1,1,1,0,1869378,3,U. MENDICOTE RUBIO,https://imagenes.feb.es/foto.aspx?c=1869378,HLA ALICANTE
2,2,"100,0",1,3,"33,3",0,1,"0,0",1,4,"25,0",559,09:19,,0,1,0,0,2,2,3,1,0,,8,2,0,2,3,4,0,0,2787126,4,S. CECCARDI,https://imagenes.feb.es/foto.aspx?c=2787126,HLA ALICANTE
6,7,"85,7",2,2,"100,0",3,5,"60,0",5,7,"71,4",1529,25:29,,0,0,0,2,3,5,3,1,1,,-1,21,0,5,3,19,0,0,2734619,8,J. MWEMA,https://imagenes.feb.es/foto.aspx?c=2734619,HLA ALICANTE
4,6,"66,7",3,6,"50,0",0,1,"0,0",3,7,"42,9",1454,24:14,,0,1,0,1,1,2,4,3,0,,-16,6,0,2,1,10,1,0,2863973,10,E. POLANCO TAVAREZ,https://imagenes.feb.es/foto.aspx?c=2863973,HLA ALICANTE
0,0,"0,0",0,0,"0,0",0,0,"0,0",0,0,"0,0",346,05:46,,0,0,0,0,0,0,1,1,0,,-1,-2,0,0,2,0,0,0,2818653,12,B. COULIBALY,https://imagenes.feb.es/foto.aspx?c=2818653,HLA ALICANTE
5,5,"100,0",7,10,"70,0",0,4,"0,0",7,14,"50,0",1764,29:24,,0,0,0,0,2,2,4,1,0,,-13,17,2,2,2,19,1,1,2433482,13,K. LARSEN,https://imagenes.feb.es/foto.aspx?c=2433482,HLA ALICANTE
0,0,"0,0",1,1,"100,0",0,0,"0,0",1,1,"100,0",485,08:05,,0,0,0,1,1,2,0,1,0,,6,1,0,2,2,2,0,0,1997161,14,I. TAMBA VILLEN,https://imagenes.feb.es/foto.aspx?c=1997161,HLA ALICANTE
0,2,"0,0",0,0,"0,0",0,1,"0,0",0,1,"0,0",871,14:31,,0,0,0,0,5,5,1,0,1,,-5,3,1,5,2,0,1,0,2836470,15,T. RICHARDSON,https://imagenes.feb.es/foto.aspx?c=2836470,HLA ALICANTE
