num,text,team,time,deleted,scoreA,scoreB,quarter,logo,idPlayer,idLicense,idTeam,action,logParam1,logParam2,logParam3,logParam4,logParam5,logParam6,logParam7,logParam8,logParam9,logParam10,Position
536,Fin del Cuarto 4,,00:00,,,,4,,,,,period,4,1,,,,,,,,,
535,(FIBWI MALLORCA BASQUET PALMA ) P. BOMBINO PARADA: REBOTE (Rebotes: 5),2,00:09,,,,4,https://imagenes.feb.es/foto.aspx?c=2819257,2819257,10929984,981214,rebound,00000000-0000-0002-0000-000002486404,10929984,,,,,,,,,
534,(LEYMA CORUÑA) D. RADONCIC: TIRO DE 3 FALLADO,1,00:09,,,,4,https://imagenes.feb.es/foto.aspx?c=2843861,2843861,11087584,980004,shoot,00000000-0000-0001-0000-000002486404,11087584,,0,1,3,,16,,,69.74612064649145|16.637157876888498
533,(FIBWI MALLORCA BASQUET PALMA ) J. ARAMBURU LAMY: TIRO DE 2 ANOTADO (Puntos: 13),2,00:31,,94,72,4,https://imagenes.feb.es/foto.aspx?c=1509876,1509876,10881404,981214,shoot,00000000-0000-0002-0000-000002486404,10881404,,1,7,2,0,13,,,32.933711234792675|22.05683761355884
532,(FIBWI MALLORCA BASQUET PALMA ) J. ARAMBURU LAMY: REBOTE (Rebotes: 11),2,00:31,,,,4,https://imagenes.feb.es/foto.aspx?c=1509876,1509876,10881404,981214,rebound,00000000-0000-0002-0000-000002486404,10881404,,,,,,,,,
531,(FIBWI MALLORCA BASQUET PALMA ) O. SIQUIER COSTA: TIRO DE 3 FALLADO,2,00:31,,,,4,https://imagenes.feb.es/foto.aspx?c=2008018,2008018,10881406,981214,shoot,00000000-0000-0002-0000-000002486404,10881406,,0,1,3,,7,,,32.933711234792675|22.05683761355884
530,(FIBWI MALLORCA BASQUET PALMA ) O. SIQUIER COSTA: ROBO (Robos: 1),2,00:51,,,,4,https://imagenes.feb.es/foto.aspx?c=2008018,2008018,10881406,981214,recovery,00000000-0000-0002-0000-000002486404,10881406,,,,,,,,,
529,(LEYMA CORUÑA) D. CUEVAS SIMARRO: PÉRDIDA (Pérdidas: 2),1,00:51,,,,4,https://imagenes.feb.es/foto.aspx?c=2557970,2557970,10865232,980004,lose,00000000-0000-0001-0000-000002486404,0,,10865232,,,,,,,
528,(LEYMA CORUÑA) J. CREMO: REBOTE (Rebotes: 4),1,00:58,,,,4,https://imagenes.feb.es/foto.aspx?c=2452677,2452677,10865237,980004,rebound,00000000-0000-0001-0000-000002486404,10865237,,,,,,,,,
527,(FIBWI MALLORCA BASQUET PALMA ) J. BOCCA: TIRO DE 1 FALLADO,2,00:58,,,,4,https://imagenes.feb.es/foto.aspx?c=2821058,2821058,10902449,981214,fthrow,00000000-0000-0002-0000-000002486404,10902449,2,0,,1,0,,,,
526,(FIBWI MALLORCA BASQUET PALMA ) J. BOCCA: TIRO DE 1 FALLADO,2,00:58,,,,4,https://imagenes.feb.es/foto.aspx?c=2821058,2821058,10902449,981214,fthrow,00000000-0000-0002-0000-000002486404,10902449,1,0,,1,0,,,,
525,(FIBWI MALLORCA BASQUET PALMA ) O. SIQUIER COSTA: ASISTENCIA (Asistencias: 1),2,00:58,,,,4,https://imagenes.feb.es/foto.aspx?c=2008018,2008018,10881406,981214,assist,00000000-0000-0002-0000-000002486404,10881406,,,,,,,,,
524,(FIBWI MALLORCA BASQUET PALMA ) J. BOCCA: TIRO DE 1 ANOTADO (Puntos: 7),2,00:58,,94,70,4,https://imagenes.feb.es/foto.aspx?c=2821058,2821058,10902449,981214,fthrow,00000000-0000-0002-0000-000002486404,10902449,0,1,,1,0,,,,
523,(LEYMA CORUÑA) D. RADONCIC: FALTA Personal (Faltas: 3. Faltas de equipo: 21). Tiros libres: 3,1,00:58,,,,4,https://imagenes.feb.es/foto.aspx?c=2843861,2843861,11087584,980004,foul,00000000-0000-0001-0000-000002486404,11087584,1,10902449,1,3,0,,,1,
522,(LEYMA CORUÑA) D. CUEVAS SIMARRO: ASISTENCIA (Asistencias: 11),1,01:22,,,,4,https://imagenes.feb.es/foto.aspx?c=2557970,2557970,10865232,980004,assist,00000000-0000-0001-0000-000002486404,10865232,,,,,,,,,
521,(LEYMA CORUÑA) D. BRNOVIC: TIRO DE 3 ANOTADO (Puntos: 6),1,01:22,,94,69,4,https://imagenes.feb.es/foto.aspx?c=2814190,2814190,10865233,980004,shoot,00000000-0000-0001-0000-000002486404,10865233,,1,1,3,,16,,,74.04795645963631|13.234102856615852
520,(FIBWI MALLORCA BASQUET PALMA ) P. BOMBINO PARADA: FALTA Personal (Faltas: 3. Faltas de equipo: 18). Tiros libres: 0,2,01:28,,,,4,https://imagenes.feb.es/foto.aspx?c=2819257,2819257,10929984,981214,foul,00000000-0000-0002-0000-000002486404,10929984,1,11087584,1,0,0,,,1,
519,(LEYMA CORUÑA) S. BARRO: REBOTE (Rebotes: 7),1,01:34,,,,4,https://imagenes.feb.es/foto.aspx?c=2862313,2862313,11141744,980004,rebound,00000000-0000-0001-0000-000002486404,11141744,,,,,,,,,
