match_id,jornada,fecha_jornada,equipo_local,equipo_visitante,resultado
2486319,Jornada 7,07/11/2025,MELILLA CIUDAD DEL DEPORTE,HLA ALICANTE,79-90
2486321,Jornada 8,14/11/2025,HLA ALICANTE,PALMER BASKET MALLORCA PALMA,109-73
2486322,Jornada 8,14/11/2025,FIBWI MALLORCA BASQUET PALMA,CLOUD.GAL OURENSE BALONCESTO,83-76
2486324,Jornada 8,14/11/2025,LEYMA CORUÑA,MELILLA CIUDAD DEL DEPORTE,101-89
2486325,Jornada 8,14/11/2025,INVEREADY GIPUZKOA,CAJA RURAL CB ZAMORA,82-86
2486326,Jornada 8,14/11/2025,MOVISTAR ESTUDIANTES,FLEXICAR FUENLABRADA,99-76
2486327,Jornada 8,14/11/2025,GRUPO CAESA SEGUROS FC CARTAGENA CB,MONBUS OBRADOIRO,68-94
2486328,Jornada 8,14/11/2025,SÚPER AGROPAL PALENCIA,ALIMERKA OVIEDO BALONCESTO,88-80
2486329,Jornada 8,14/11/2025,GRUPO ALEGA CANTABRIA,GRUPO URETA TIZONA BURGOS,84-91
2486330,Jornada 9,21/11/2025,HLA ALICANTE,GRUPO ALEGA CANTABRIA,101-90
2486331,Jornada 9,21/11/2025,GRUPO URETA TIZONA BURGOS,CLOUD.GAL OURENSE BALONCESTO,77-99
2486332,Jornada 9,21/11/2025,MONBUS OBRADOIRO,FIBWI MALLORCA BASQUET PALMA,99-89
2486333,Jornada 9,21/11/2025,FLEXICAR FUENLABRADA,INVEREADY GIPUZKOA,70-87
2486334,Jornada 9,21/11/2025,ALIMERKA OVIEDO BALONCESTO,HESTIA MENORCA,67-75
2486335,Jornada 9,21/11/2025,SÚPER AGROPAL PALENCIA,MOVISTAR ESTUDIANTES,83-52
2486336,Jornada 9,21/11/2025,CAJA RURAL CB ZAMORA,GRUPO CAESA SEGUROS FC CARTAGENA CB,90-71
2486337,Jornada 9,21/11/2025,MELILLA CIUDAD DEL DEPORTE,PALMER BASKET MALLORCA PALMA,90-76
2486339,Jornada 10,05/12/2025,FIBWI MALLORCA BASQUET PALMA,GRUPO URETA TIZONA BURGOS,87-86
2486340,Jornada 10,05/12/2025,HESTIA MENORCA,CAJA RURAL CB ZAMORA,88-74
2486341,Jornada 10,05/12/2025,PALMER BASKET MALLORCA PALMA,MOVISTAR ESTUDIANTES,64-68
2486342,Jornada 10,05/12/2025,LEYMA CORUÑA,SÚPER AGROPAL PALENCIA,82-75
2486343,Jornada 10,05/12/2025,MONBUS OBRADOIRO,FLEXICAR FUENLABRADA,97-69
2486344,Jornada 10,05/12/2025,INVEREADY GIPUZKOA,HLA ALICANTE,77-70
2486346,Jornada 10,05/12/2025,CLOUD.GAL OURENSE BALONCESTO,MELILLA CIUDAD DEL DEPORTE,98-75
2486347,Jornada 10,05/12/2025,ALIMERKA OVIEDO BALONCESTO,GRUPO ALEGA CANTABRIA,97-79
2486348,Jornada 11,12/12/2025,HLA ALICANTE,ALIMERKA OVIEDO BALONCESTO,88-89
2486349,Jornada 11,12/12/2025,PALMER BASKET MALLORCA PALMA,GRUPO CAESA SEGUROS FC CARTAGENA CB,77-68
2486350,Jornada 11,12/12/2025,MOVISTAR ESTUDIANTES,GRUPO URETA TIZONA BURGOS,102-85
2486351,Jornada 11,12/12/2025,FLEXICAR FUENLABRADA,CLOUD.GAL OURENSE BALONCESTO,78-71
2486352,Jornada 11,12/12/2025,SÚPER AGROPAL PALENCIA,INVEREADY GIPUZKOA,64-76
2486353,Jornada 11,12/12/2025,GRUPO ALEGA CANTABRIA,HESTIA MENORCA,83-80
2486354,Jornada 11,12/12/2025,CAJA RURAL CB ZAMORA,LEYMA CORUÑA,69-81
2486355,Jornada 11,12/12/2025,MELILLA CIUDAD DEL DEPORTE,FIBWI MALLORCA BASQUET PALMA,72-79
2486357,Jornada 12,16/12/2025,HLA ALICANTE,FLEXICAR FUENLABRADA,91-86
2486358,Jornada 12,16/12/2025,FIBWI MALLORCA BASQUET PALMA,SÚPER AGROPAL PALENCIA,86-93
2486359,Jornada 12,16/12/2025,HESTIA MENORCA,MOVISTAR ESTUDIANTES,86-96
2486360,Jornada 12,16/12/2025,GRUPO URETA TIZONA BURGOS,PALMER BASKET MALLORCA PALMA,95-59
2486361,Jornada 12,16/12/2025,LEYMA CORUÑA,CLOUD.GAL OURENSE BALONCESTO,94-77
2486362,Jornada 12,16/12/2025,MONBUS OBRADOIRO,CAJA RURAL CB ZAMORA,106-80
2486363,Jornada 12,16/12/2025,INVEREADY GIPUZKOA,MELILLA CIUDAD DEL DEPORTE,84-62
2486364,Jornada 12,16/12/2025,GRUPO CAESA SEGUROS FC CARTAGENA CB,GRUPO ALEGA CANTABRIA,68-74
2486366,Jornada 13,21/12/2025,PALMER BASKET MALLORCA PALMA,MONBUS OBRADOIRO,45-115
2486367,Jornada 13,21/12/2025,GRUPO URETA TIZONA BURGOS,HLA ALICANTE,72-85
2486368,Jornada 13,21/12/2025,FLEXICAR FUENLABRADA,SÚPER AGROPAL PALENCIA,73-67
2486369,Jornada 13,21/12/2025,GRUPO CAESA SEGUROS FC CARTAGENA CB,LEYMA CORUÑA,80-89
2486370,Jornada 13,21/12/2025,CLOUD.GAL OURENSE BALONCESTO,INVEREADY GIPUZKOA,77-89
2486371,Jornada 13,21/12/2025,GRUPO ALEGA CANTABRIA,FIBWI MALLORCA BASQUET PALMA,77-65
2486372,Jornada 13,21/12/2025,CAJA RURAL CB ZAMORA,ALIMERKA OVIEDO BALONCESTO,104-102
2486373,Jornada 13,21/12/2025,MELILLA CIUDAD DEL DEPORTE,HESTIA MENORCA,65-95
2486375,Jornada 14,28/12/2025,HLA ALICANTE,GRUPO CAESA SEGUROS FC CARTAGENA CB,95-77
2486376,Jornada 14,28/12/2025,FIBWI MALLORCA BASQUET PALMA,PALMER BASKET MALLORCA PALMA,82-80
2486377,Jornada 14,28/12/2025,HESTIA MENORCA,FLEXICAR FUENLABRADA,80-70
2486378,Jornada 14,28/12/2025,MONBUS OBRADOIRO,LEYMA CORUÑA,103-99
2486379,Jornada 14,28/12/2025,INVEREADY GIPUZKOA,GRUPO ALEGA CANTABRIA,88-77
2486380,Jornada 14,28/12/2025,MOVISTAR ESTUDIANTES,CAJA RURAL CB ZAMORA,86-77
2486381,Jornada 14,28/12/2025,ALIMERKA OVIEDO BALONCESTO,CLOUD.GAL OURENSE BALONCESTO,75-73
2486382,Jornada 14,28/12/2025,SÚPER AGROPAL PALENCIA,GRUPO URETA TIZONA BURGOS,91-76
2486384,Jornada 15,04/01/2026,HESTIA MENORCA,HLA ALICANTE,81-68
2486385,Jornada 15,04/01/2026,PALMER BASKET MALLORCA PALMA,INVEREADY GIPUZKOA,63-71
2486387,Jornada 15,04/01/2026,LEYMA CORUÑA,GRUPO ALEGA CANTABRIA,102-67
2486388,Jornada 15,04/01/2026,MOVISTAR ESTUDIANTES,CLOUD.GAL OURENSE BALONCESTO,92-75
2486389,Jornada 15,04/01/2026,GRUPO CAESA SEGUROS FC CARTAGENA CB,FLEXICAR FUENLABRADA,75-88
2486390,Jornada 15,04/01/2026,ALIMERKA OVIEDO BALONCESTO,FIBWI MALLORCA BASQUET PALMA,83-64
2486391,Jornada 15,04/01/2026,SÚPER AGROPAL PALENCIA,MONBUS OBRADOIRO,85-87
2486392,Jornada 15,04/01/2026,CAJA RURAL CB ZAMORA,MELILLA CIUDAD DEL DEPORTE,97-88
2486393,Jornada 16,09/01/2026,HLA ALICANTE,LEYMA CORUÑA,89-96
2486394,Jornada 16,09/01/2026,FIBWI MALLORCA BASQUET PALMA,MOVISTAR ESTUDIANTES,80-76
2486395,Jornada 16,09/01/2026,GRUPO URETA TIZONA BURGOS,HESTIA MENORCA,85-102
2486396,Jornada 16,09/01/2026,INVEREADY GIPUZKOA,ALIMERKA OVIEDO BALONCESTO,74-69
2486397,Jornada 16,09/01/2026,FLEXICAR FUENLABRADA,CAJA RURAL CB ZAMORA,79-61
2486398,Jornada 16,09/01/2026,CLOUD.GAL OURENSE BALONCESTO,MONBUS OBRADOIRO,96-93
2486399,Jornada 16,09/01/2026,GRUPO ALEGA CANTABRIA,PALMER BASKET MALLORCA PALMA,73-76
2486400,Jornada 16,09/01/2026,MELILLA CIUDAD DEL DEPORTE,GRUPO CAESA SEGUROS FC CARTAGENA CB,84-91
2486402,Jornada 17,16/01/2026,HESTIA MENORCA,INVEREADY GIPUZKOA,71-64
2486403,Jornada 17,16/01/2026,PALMER BASKET MALLORCA PALMA,FLEXICAR FUENLABRADA,79-88
2486404,Jornada 17,16/01/2026,LEYMA CORUÑA,FIBWI MALLORCA BASQUET PALMA,94-72
2486405,Jornada 17,16/01/2026,MONBUS OBRADOIRO,HLA ALICANTE,87-75
2486406,Jornada 17,16/01/2026,MOVISTAR ESTUDIANTES,GRUPO ALEGA CANTABRIA,81-74
2486407,Jornada 17,16/01/2026,GRUPO CAESA SEGUROS FC CARTAGENA CB,GRUPO URETA TIZONA BURGOS,89-87
2486408,Jornada 17,16/01/2026,ALIMERKA OVIEDO BALONCESTO,MELILLA CIUDAD DEL DEPORTE,101-70
2486409,Jornada 17,16/01/2026,SÚPER AGROPAL PALENCIA,CLOUD.GAL OURENSE BALONCESTO,83-77
2486411,Jornada 18,30/01/2026,HLA ALICANTE,SÚPER AGROPAL PALENCIA,63-82
2486412,Jornada 18,30/01/2026,PALMER BASKET MALLORCA PALMA,CAJA RURAL CB ZAMORA,92-95
2486413,Jornada 18,30/01/2026,GRUPO URETA TIZONA BURGOS,FIBWI MALLORCA BASQUET PALMA,80-76
2486414,Jornada 18,30/01/2026,MONBUS OBRADOIRO,ALIMERKA OVIEDO BALONCESTO,86-68
2486415,Jornada 18,30/01/2026,INVEREADY GIPUZKOA,MOVISTAR ESTUDIANTES,73-66
2486416,Jornada 18,30/01/2026,CLOUD.GAL OURENSE BALONCESTO,FLEXICAR FUENLABRADA,69-72
2486417,Jornada 18,30/01/2026,GRUPO ALEGA CANTABRIA,GRUPO CAESA SEGUROS FC CARTAGENA CB,78-72
2486418,Jornada 18,30/01/2026,MELILLA CIUDAD DEL DEPORTE,LEYMA CORUÑA,72-105
2486420,Jornada 19,06/02/2026,FIBWI MALLORCA BASQUET PALMA,MELILLA CIUDAD DEL DEPORTE,84-78
2486421,Jornada 19,06/02/2026,HESTIA MENORCA,GRUPO ALEGA CANTABRIA,89-81
2486422,Jornada 19,06/02/2026,MOVISTAR ESTUDIANTES,SÚPER AGROPAL PALENCIA,72-94
2486423,Jornada 19,06/02/2026,FLEXICAR FUENLABRADA,GRUPO URETA TIZONA BURGOS,76-69
2486424,Jornada 19,06/02/2026,GRUPO CAESA SEGUROS FC CARTAGENA CB,INVEREADY GIPUZKOA,64-84
2486425,Jornada 19,06/02/2026,CLOUD.GAL OURENSE BALONCESTO,HLA ALICANTE,81-75
2486426,Jornada 19,06/02/2026,ALIMERKA OVIEDO BALONCESTO,LEYMA CORUÑA,84-89
2486427,Jornada 19,06/02/2026,CAJA RURAL CB ZAMORA,MONBUS OBRADOIRO,77-92
