match_id,jornada,fecha_jornada,equipo_local,equipo_visitante,resultado
2486523,Jornada 30,17/04/2026,MOVISTAR ESTUDIANTES,ALIMERKA OVIEDO BALONCESTO,DOMINGO19/04/202612:30
2486524,Jornada 30,17/04/2026,FLEXICAR FUENLABRADA,LEYMA CORUÑA,SÁBADO18/04/202618:30
2486525,Jornada 30,17/04/2026,GRUPO ALEGA CANTABRIA,HLA ALICANTE,VIERNES17/04/202620:30
2486526,Jornada 30,17/04/2026,MELILLA CIUDAD DEL DEPORTE,CAJA RURAL CB ZAMORA,DOMINGO19/04/202618:00
2486529,Jornada 31,21/04/2026,FIBWI MALLORCA BASQUET PALMA,INVEREADY GIPUZKOA,MIÉRCOLES22/04/202620:00
2486530,Jornada 31,21/04/2026,GRUPO URETA TIZONA BURGOS,MONBUS OBRADOIRO,MARTES21/04/202620:00
2486531,Jornada 31,21/04/2026,LEYMA CORUÑA,HESTIA MENORCA,MIÉRCOLES22/04/202620:45
2486532,Jornada 31,21/04/2026,MOVISTAR ESTUDIANTES,MELILLA CIUDAD DEL DEPORTE,MIÉRCOLES22/04/202620:00
2486533,Jornada 31,21/04/2026,GRUPO CAESA SEGUROS FC CARTAGENA CB,CAJA RURAL CB ZAMORA,MIÉRCOLES22/04/202620:30
2486534,Jornada 31,21/04/2026,CLOUD.GAL OURENSE BALONCESTO,SÚPER AGROPAL PALENCIA,MARTES21/04/202620:45
2486535,Jornada 31,21/04/2026,ALIMERKA OVIEDO BALONCESTO,PALMER BASKET MALLORCA PALMA,MIÉRCOLES22/04/202620:30
2486536,Jornada 31,21/04/2026,GRUPO ALEGA CANTABRIA,FLEXICAR FUENLABRADA,MIÉRCOLES22/04/202620:30
2486537,Jornada 32,26/04/2026,HESTIA MENORCA,CLOUD.GAL OURENSE BALONCESTO,DOMINGO26/04/202612:30
2486538,Jornada 32,26/04/2026,PALMER BASKET MALLORCA PALMA,HLA ALICANTE,DOMINGO26/04/202618:00
2486539,Jornada 32,26/04/2026,LEYMA CORUÑA,INVEREADY GIPUZKOA,DOMINGO26/04/202612:30
2486540,Jornada 32,26/04/2026,MONBUS OBRADOIRO,MOVISTAR ESTUDIANTES,DOMINGO26/04/202618:00
2486541,Jornada 32,26/04/2026,FLEXICAR FUENLABRADA,GRUPO CAESA SEGUROS FC CARTAGENA CB,DOMINGO26/04/202618:00
2486542,Jornada 32,26/04/2026,SÚPER AGROPAL PALENCIA,FIBWI MALLORCA BASQUET PALMA,SÁBADO25/04/202620:00
2486543,Jornada 32,26/04/2026,CAJA RURAL CB ZAMORA,GRUPO ALEGA CANTABRIA,DOMINGO26/04/202612:30
2486544,Jornada 32,26/04/2026,MELILLA CIUDAD DEL DEPORTE,GRUPO URETA TIZONA BURGOS,DOMINGO26/04/202618:00
2486546,Jornada 33,01/05/2026,HLA ALICANTE,GRUPO URETA TIZONA BURGOS,SÁBADO02/05/202619:00
2486547,Jornada 33,01/05/2026,FIBWI MALLORCA BASQUET PALMA,LEYMA CORUÑA,DOMINGO03/05/202618:00
2486548,Jornada 33,01/05/2026,INVEREADY GIPUZKOA,HESTIA MENORCA,DOMINGO03/05/202618:00
2486549,Jornada 33,01/05/2026,MOVISTAR ESTUDIANTES,PALMER BASKET MALLORCA PALMA,DOMINGO03/05/202611:30
2486550,Jornada 33,01/05/2026,GRUPO CAESA SEGUROS FC CARTAGENA CB,SÚPER AGROPAL PALENCIA,SÁBADO02/05/202619:00
2486551,Jornada 33,01/05/2026,ALIMERKA OVIEDO BALONCESTO,CAJA RURAL CB ZAMORA,SÁBADO02/05/202619:00
2486552,Jornada 33,01/05/2026,GRUPO ALEGA CANTABRIA,MONBUS OBRADOIRO,SÁBADO02/05/202619:00
2486553,Jornada 33,01/05/2026,MELILLA CIUDAD DEL DEPORTE,CLOUD.GAL OURENSE BALONCESTO,DOMINGO03/05/202618:00
2486555,Jornada 34,08/05/2026,HESTIA MENORCA,MELILLA CIUDAD DEL DEPORTE,VIERNES08/05/202621:00
2486556,Jornada 34,08/05/2026,PALMER BASKET MALLORCA PALMA,FIBWI MALLORCA BASQUET PALMA,VIERNES08/05/202621:00
2486557,Jornada 34,08/05/2026,GRUPO URETA TIZONA BURGOS,GRUPO CAESA SEGUROS FC CARTAGENA CB,VIERNES08/05/202621:00
2486559,Jornada 34,08/05/2026,MONBUS OBRADOIRO,INVEREADY GIPUZKOA,VIERNES08/05/202621:00
2486560,Jornada 34,08/05/2026,FLEXICAR FUENLABRADA,MOVISTAR ESTUDIANTES,VIERNES08/05/202621:00
2486561,Jornada 34,08/05/2026,CLOUD.GAL OURENSE BALONCESTO,ALIMERKA OVIEDO BALONCESTO,VIERNES08/05/202621:00
2486562,Jornada 34,08/05/2026,SÚPER AGROPAL PALENCIA,GRUPO ALEGA CANTABRIA,VIERNES08/05/202621:00
2486563,Jornada 34,08/05/2026,CAJA RURAL CB ZAMORA,HLA ALICANTE,VIERNES08/05/202621:00
