num,text,team,time,deleted,scoreA,scoreB,quarter,logo,idPlayer,idLicense,idTeam,action,logParam1,logParam2,logParam3,logParam4,logParam5,logParam6,logParam7,logParam8,logParam9,logParam10,Position
536,Fin del Cuarto 4,,00:00,,,,4,,,,,period,4,1,,,,,,,,,
535,(INVEREADY GIPUZKOA) G. MAIZA APECECHEA: TIRO DE 2 FALLADO,2,00:00,,,,4,https://imagenes.feb.es/foto.aspx?c=1822814,1822814,10884421,981203,shoot,00000000-0000-0002-0000-000002486352,10884421,,0,1,2,,13,,,5.71227092688623|48.272964696339805
534,(SÚPER AGROPAL PALENCIA) J. GONZALEZ CALVO: TIRO DE 2 ANOTADO (Puntos: 4),1,00:05,,64,76,4,https://imagenes.feb.es/foto.aspx?c=1382607,1382607,10901161,981343,shoot,00000000-0000-0001-0000-000002486352,10901161,,1,7,2,0,27,,,90.47954845518962|49.029202030094766
533,(SÚPER AGROPAL PALENCIA) J. GONZALEZ CALVO: REBOTE (Rebotes: 1),1,00:05,,,,4,https://imagenes.feb.es/foto.aspx?c=1382607,1382607,10901161,981343,rebound,00000000-0000-0001-0000-000002486352,10901161,,,,,,,,,
532,(SÚPER AGROPAL PALENCIA) A. WINTERING: TIRO DE 2 FALLADO,1,00:05,,,,4,https://imagenes.feb.es/foto.aspx?c=2276415,2276415,10901166,981343,shoot,00000000-0000-0001-0000-000002486352,10901166,,0,1,2,,27,,,90.47954845518962|49.029202030094766
531,(SÚPER AGROPAL PALENCIA) Tiempo muerto,1,00:08,,,,4,,,,981343,timeout,00000000-0000-0001-0000-000002486352,,,,,,,,,,
530,(INVEREADY GIPUZKOA) G. KORSANTIA: TIRO DE 2 ANOTADO (Puntos: 14),2,00:11,,62,76,4,https://imagenes.feb.es/foto.aspx?c=2813562,2813562,10884419,981203,shoot,00000000-0000-0002-0000-000002486352,10884419,,1,7,2,0,13,,,33.215797611894004|64.02784808785208
529,(INVEREADY GIPUZKOA) G. KORSANTIA: REBOTE (Rebotes: 7),2,00:11,,,,4,https://imagenes.feb.es/foto.aspx?c=2813562,2813562,10884419,981203,rebound,00000000-0000-0002-0000-000002486352,10884419,,,,,,,,,
528,(INVEREADY GIPUZKOA) G. MAIZA APECECHEA: TIRO DE 3 FALLADO,2,00:11,,,,4,https://imagenes.feb.es/foto.aspx?c=1822814,1822814,10884421,981203,shoot,00000000-0000-0002-0000-000002486352,10884421,,0,1,3,,10,,,33.215797611894004|64.02784808785208
527,(SÚPER AGROPAL PALENCIA) T. BORG: TIRO DE 2 ANOTADO (Puntos: 9),1,00:37,,62,74,4,https://imagenes.feb.es/foto.aspx?c=2092465,2092465,10901160,981343,shoot,00000000-0000-0001-0000-000002486352,10901160,,1,1,2,,26,,,81.73484171093598|49.28127633333728
526,(INVEREADY GIPUZKOA) G. KORSANTIA: Sustitución (Entra a pista),2,00:53,,,,4,https://imagenes.feb.es/foto.aspx?c=2813562,2813562,10884419,981203,subst,00000000-0000-0002-0000-000002486352,,10884419,,,,,,,,
525,(INVEREADY GIPUZKOA) A. NGOM: Sustitución (Sale de pista),2,00:53,,,,4,https://imagenes.feb.es/foto.aspx?c=2640663,2640663,10884417,981203,subst,00000000-0000-0002-0000-000002486352,10884417,,,,,,,,,
524,(INVEREADY GIPUZKOA) G. MAIZA APECECHEA: Sustitución (Entra a pista),2,00:53,,,,4,https://imagenes.feb.es/foto.aspx?c=1822814,1822814,10884421,981203,subst,00000000-0000-0002-0000-000002486352,,10884421,,,,,,,,
523,(INVEREADY GIPUZKOA) O. HANZLIK: Sustitución (Sale de pista),2,00:53,,,,4,https://imagenes.feb.es/foto.aspx?c=2678649,2678649,10884420,981203,subst,00000000-0000-0002-0000-000002486352,10884420,,,,,,,,,
522,(INVEREADY GIPUZKOA) O. HANZLIK: TIRO DE 3 FALLADO,2,00:56,,,,4,https://imagenes.feb.es/foto.aspx?c=2678649,2678649,10884420,981203,shoot,00000000-0000-0002-0000-000002486352,10884420,,0,1,3,,3,,,30.11283455084053|74.36305606990226
521,(SÚPER AGROPAL PALENCIA) T. BORG: ASISTENCIA (Asistencias: 2),1,01:20,,,,4,https://imagenes.feb.es/foto.aspx?c=2092465,2092465,10901160,981343,assist,00000000-0000-0001-0000-000002486352,10901160,,,,,,,,,
520,(SÚPER AGROPAL PALENCIA) J. GONZALEZ CALVO: TIRO DE 2 ANOTADO (Puntos: 2),1,01:20,,60,74,4,https://imagenes.feb.es/foto.aspx?c=1382607,1382607,10901161,981343,shoot,00000000-0000-0001-0000-000002486352,10901161,,1,1,2,,27,,,93.2299011236904|47.01257587129433
519,(SÚPER AGROPAL PALENCIA) A. WINTERING: REBOTE (Rebotes: 4),1,01:27,,,,4,https://imagenes.feb.es/foto.aspx?c=2276415,2276415,10901166,981343,rebound,00000000-0000-0001-0000-000002486352,10901166,,,,,,,,,
518,(INVEREADY GIPUZKOA) I. ARROYO VARELA: TIRO DE 3 FALLADO,2,01:27,,,,4,https://imagenes.feb.es/foto.aspx?c=2275973,2275973,10884422,981203,shoot,00000000-0000-0002-0000-000002486352,10884422,,0,1,3,,7,,,30.959096910379234|21.426643201036104
517,(INVEREADY GIPUZKOA) A. NGOM: REBOTE (Rebotes: 7),2,01:49,,,,4,https://imagenes.feb.es/foto.aspx?c=2640663,2640663,10884417,981203,rebound,00000000-0000-0002-0000-000002486352,10884417,,,,,,,,,
516,(SÚPER AGROPAL PALENCIA) A. KUNKEL: TIRO DE 3 FALLADO,1,01:49,,,,4,https://imagenes.feb.es/foto.aspx?c=2734949,2734949,10901163,981343,shoot,00000000-0000-0001-0000-000002486352,10901163,,0,1,3,,16,,,71.43864536556885|17.771509550312715
515,(SÚPER AGROPAL PALENCIA) J. VRANKIC: TIRO DE 2 FALLADO,1,01:54,,,,4,https://imagenes.feb.es/foto.aspx?c=2640789,2640789,10901168,981343,shoot,00000000-0000-0001-0000-000002486352,10901168,,0,1,2,,27,,,92.80676994392104|49.029202030094766
514,(SÚPER AGROPAL PALENCIA) M. ARMUS: Sustitución (Sale de pista),1,02:10,,,,4,https://imagenes.feb.es/foto.aspx?c=2818672,2818672,10901169,981343,subst,00000000-0000-0001-0000-000002486352,10901169,,,,,,,,,
513,(SÚPER AGROPAL PALENCIA) X. OROZ URIA: Sustitución (Sale de pista),1,02:10,,,,4,https://imagenes.feb.es/foto.aspx?c=1750421,1750421,10901164,981343,subst,00000000-0000-0001-0000-000002486352,10901164,,,,,,,,,
512,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: Sustitución (Sale de pista),1,02:10,,,,4,https://imagenes.feb.es/foto.aspx?c=2533871,2533871,10901167,981343,subst,00000000-0000-0001-0000-000002486352,10901167,,,,,,,,,
511,(SÚPER AGROPAL PALENCIA) A. WINTERING: Sustitución (Entra a pista),1,02:10,,,,4,https://imagenes.feb.es/foto.aspx?c=2276415,2276415,10901166,981343,subst,00000000-0000-0001-0000-000002486352,,10901166,,,,,,,,
510,(SÚPER AGROPAL PALENCIA) J. GONZALEZ CALVO: Sustitución (Entra a pista),1,02:10,,,,4,https://imagenes.feb.es/foto.aspx?c=1382607,1382607,10901161,981343,subst,00000000-0000-0001-0000-000002486352,,10901161,,,,,,,,
509,(SÚPER AGROPAL PALENCIA) A. KUNKEL: Sustitución (Entra a pista),1,02:10,,,,4,https://imagenes.feb.es/foto.aspx?c=2734949,2734949,10901163,981343,subst,00000000-0000-0001-0000-000002486352,,10901163,,,,,,,,
508,(INVEREADY GIPUZKOA) A. NGOM: PÉRDIDA (Pérdidas: 2),2,02:10,,,,4,https://imagenes.feb.es/foto.aspx?c=2640663,2640663,10884417,981203,lose,00000000-0000-0002-0000-000002486352,0,7,10884417,,,,,,,
507,(INVEREADY GIPUZKOA) A. NGOM: FALTA Ofensiva (Faltas: 4. Faltas de equipo: 25). Tiros libres: 0,2,02:10,,,,4,https://imagenes.feb.es/foto.aspx?c=2640663,2640663,10884417,981203,foul,00000000-0000-0002-0000-000002486352,10884417,8,10901160,1,,,,,1,
506,(INVEREADY GIPUZKOA) I. ARROYO VARELA: ROBO (Robos: 3),2,02:24,,,,4,https://imagenes.feb.es/foto.aspx?c=2275973,2275973,10884422,981203,recovery,00000000-0000-0002-0000-000002486352,10884422,,,,,,,,,
505,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: PÉRDIDA (Pérdidas: 1),1,02:24,,,,4,https://imagenes.feb.es/foto.aspx?c=2533871,2533871,10901167,981343,lose,00000000-0000-0001-0000-000002486352,0,,10901167,,,,,,,
504,(INVEREADY GIPUZKOA) I. ARROYO VARELA: TIRO DE 3 ANOTADO (Puntos: 22),2,02:36,,58,74,4,https://imagenes.feb.es/foto.aspx?c=2275973,2275973,10884422,981203,shoot,00000000-0000-0002-0000-000002486352,10884422,,1,1,3,,10,,,35.47249831340878|48.02088750829181
503,(SÚPER AGROPAL PALENCIA) J. VRANKIC: TIRO DE 2 ANOTADO (Puntos: 12),1,02:58,,58,71,4,https://imagenes.feb.es/foto.aspx?c=2640789,2640789,10901168,981343,shoot,00000000-0000-0001-0000-000002486352,10901168,,1,7,2,0,27,,,68.75881671251943|74.74117329437699
502,(SÚPER AGROPAL PALENCIA) J. VRANKIC: REBOTE (Rebotes: 6),1,02:58,,,,4,https://imagenes.feb.es/foto.aspx?c=2640789,2640789,10901168,981343,rebound,00000000-0000-0001-0000-000002486352,10901168,,,,,,,,,
501,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: TIRO DE 3 FALLADO,1,02:58,,,,4,https://imagenes.feb.es/foto.aspx?c=2533871,2533871,10901167,981343,shoot,00000000-0000-0001-0000-000002486352,10901167,,0,1,3,,15,,,68.75881671251943|74.74117329437699
500,(INVEREADY GIPUZKOA) I. ARROYO VARELA: TIRO DE 2 ANOTADO (Puntos: 19),2,03:11,,56,71,4,https://imagenes.feb.es/foto.aspx?c=2275973,2275973,10884422,981203,shoot,00000000-0000-0002-0000-000002486352,10884422,,1,1,2,,9,,,25.317348384827014|31.383729631403305
499,(INVEREADY GIPUZKOA) O. HANZLIK: REBOTE (Rebotes: 5),2,03:30,,,,4,https://imagenes.feb.es/foto.aspx?c=2678649,2678649,10884420,981203,rebound,00000000-0000-0002-0000-000002486352,10884420,,,,,,,,,
498,(SÚPER AGROPAL PALENCIA) J. VRANKIC: TIRO DE 2 FALLADO,1,03:30,,,,4,https://imagenes.feb.es/foto.aspx?c=2640789,2640789,10901168,981343,shoot,00000000-0000-0001-0000-000002486352,10901168,,0,1,2,,26,,,89.06911334144826|50.919788152468456
497,(INVEREADY GIPUZKOA) I. ARROYO VARELA: TIRO DE 1 ANOTADO (Puntos: 17),2,03:42,,56,69,4,https://imagenes.feb.es/foto.aspx?c=2275973,2275973,10884422,981203,fthrow,00000000-0000-0002-0000-000002486352,10884422,1,1,,1,0,,,,
496,(INVEREADY GIPUZKOA) I. ARROYO VARELA: TIRO DE 1 ANOTADO (Puntos: 16),2,03:42,,56,68,4,https://imagenes.feb.es/foto.aspx?c=2275973,2275973,10884422,981203,fthrow,00000000-0000-0002-0000-000002486352,10884422,0,1,,1,0,,,,
495,(SÚPER AGROPAL PALENCIA) M. ARMUS: FALTA Personal (Faltas: 2. Faltas de equipo: 19). Tiros libres: 2,1,03:42,,,,4,https://imagenes.feb.es/foto.aspx?c=2818672,2818672,10901169,981343,foul,00000000-0000-0001-0000-000002486352,10901169,1,10884422,1,2,0,,,1,
494,(SÚPER AGROPAL PALENCIA) X. OROZ URIA: ASISTENCIA (Asistencias: 1),1,04:02,,,,4,https://imagenes.feb.es/foto.aspx?c=1750421,1750421,10901164,981343,assist,00000000-0000-0001-0000-000002486352,10901164,,,,,,,,,
493,(SÚPER AGROPAL PALENCIA) T. BORG: TIRO DE 3 ANOTADO (Puntos: 7),1,04:02,,56,67,4,https://imagenes.feb.es/foto.aspx?c=2092465,2092465,10901160,981343,shoot,00000000-0000-0001-0000-000002486352,10901160,,1,1,3,,15,,,71.0155141857995|81.54728333492228
492,(SÚPER AGROPAL PALENCIA) X. OROZ URIA: REBOTE (Rebotes: 1),1,04:08,,,,4,https://imagenes.feb.es/foto.aspx?c=1750421,1750421,10901164,981343,rebound,00000000-0000-0001-0000-000002486352,10901164,,,,,,,,,
491,(SÚPER AGROPAL PALENCIA) X. OROZ URIA: TIRO DE 2 FALLADO,1,04:08,,,,4,https://imagenes.feb.es/foto.aspx?c=1750421,1750421,10901164,981343,shoot,00000000-0000-0001-0000-000002486352,10901164,,0,1,2,,27,,,91.537376404613|41.34081750417325
490,(SÚPER AGROPAL PALENCIA) Tiempo muerto,1,04:27,,,,4,,,,981343,timeout,00000000-0000-0001-0000-000002486352,,,,,,,,,,
489,(INVEREADY GIPUZKOA) I. ARROYO VARELA: TIRO DE 3 ANOTADO (Puntos: 15),2,04:30,,53,67,4,https://imagenes.feb.es/foto.aspx?c=2275973,2275973,10884422,981203,shoot,00000000-0000-0002-0000-000002486352,10884422,,1,1,3,,10,,,31.382228090148583|29.997300769931094
488,(SÚPER AGROPAL PALENCIA) M. KAMBA: Sustitución (Sale de pista),1,04:38,,,,4,https://imagenes.feb.es/foto.aspx?c=2734950,2734950,10901162,981343,subst,00000000-0000-0001-0000-000002486352,10901162,,,,,,,,,
487,(SÚPER AGROPAL PALENCIA) M. ARMUS: Sustitución (Entra a pista),1,04:38,,,,4,https://imagenes.feb.es/foto.aspx?c=2818672,2818672,10901169,981343,subst,00000000-0000-0001-0000-000002486352,,10901169,,,,,,,,
486,(SÚPER AGROPAL PALENCIA) X. OROZ URIA: FALTA Personal (Faltas: 2. Faltas de equipo: 18). Tiros libres: 0,1,04:38,,,,4,https://imagenes.feb.es/foto.aspx?c=1750421,1750421,10901164,981343,foul,00000000-0000-0001-0000-000002486352,10901164,1,10884423,1,0,0,,,1,
485,(INVEREADY GIPUZKOA) O. HANZLIK: ROBO (Robos: 1),2,05:01,,,,4,https://imagenes.feb.es/foto.aspx?c=2678649,2678649,10884420,981203,recovery,00000000-0000-0002-0000-000002486352,10884420,,,,,,,,,
484,(SÚPER AGROPAL PALENCIA) T. BORG: PÉRDIDA (Pérdidas: 2),1,05:01,,,,4,https://imagenes.feb.es/foto.aspx?c=2092465,2092465,10901160,981343,lose,00000000-0000-0001-0000-000002486352,0,,10901160,,,,,,,
483,(INVEREADY GIPUZKOA) I. ARROYO VARELA: ASISTENCIA (Asistencias: 5),2,05:16,,,,4,https://imagenes.feb.es/foto.aspx?c=2275973,2275973,10884422,981203,assist,00000000-0000-0002-0000-000002486352,10884422,,,,,,,,,
482,(INVEREADY GIPUZKOA) A. NGOM: TIRO DE 2 ANOTADO (Puntos: 5),2,05:16,,53,64,4,https://imagenes.feb.es/foto.aspx?c=2640663,2640663,10884417,981203,shoot,00000000-0000-0002-0000-000002486352,10884417,,1,1,2,,13,,,6.770098876309606|45.500106973395376
481,(SÚPER AGROPAL PALENCIA) M. KAMBA: FALTA Personal (Faltas: 3. Faltas de equipo: 17). Tiros libres: 0,1,05:29,,,,4,https://imagenes.feb.es/foto.aspx?c=2734950,2734950,10901162,981343,foul,00000000-0000-0001-0000-000002486352,10901162,1,10884423,1,0,0,,,1,
480,(INVEREADY GIPUZKOA) T. MCGHIE: REBOTE (Rebotes: 4),2,05:35,,,,4,https://imagenes.feb.es/foto.aspx?c=2814207,2814207,10884423,981203,rebound,00000000-0000-0002-0000-000002486352,10884423,,,,,,,,,
479,(SÚPER AGROPAL PALENCIA) J. VRANKIC: TIRO DE 2 FALLADO,1,05:35,,,,4,https://imagenes.feb.es/foto.aspx?c=2640789,2640789,10901168,981343,shoot,00000000-0000-0001-0000-000002486352,10901168,,0,1,2,,26,,,89.4922445212176|46.38237857396611
478,(SÚPER AGROPAL PALENCIA) T. BORG: TIRO DE 1 ANOTADO (Puntos: 4),1,05:44,,53,62,4,https://imagenes.feb.es/foto.aspx?c=2092465,2092465,10901160,981343,fthrow,00000000-0000-0001-0000-000002486352,10901160,0,1,,1,0,,,,
477,(INVEREADY GIPUZKOA) Entrenador: FALTA Técnica. Tiros libres: 1,2,05:44,,,,4,,,,981203,foul,00000000-0000-0002-0000-000002486352,10884427,6,,2,1,0,,,0,
476,(INVEREADY GIPUZKOA) T. MCGHIE: PÉRDIDA (Pérdidas: 4),2,05:48,,,,4,https://imagenes.feb.es/foto.aspx?c=2814207,2814207,10884423,981203,lose,00000000-0000-0002-0000-000002486352,0,,10884423,,,,,,,
475,(INVEREADY GIPUZKOA) A. NGOM: REBOTE (Rebotes: 6),2,06:04,,,,4,https://imagenes.feb.es/foto.aspx?c=2640663,2640663,10884417,981203,rebound,00000000-0000-0002-0000-000002486352,10884417,,,,,,,,,
474,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: TIRO DE 3 FALLADO,1,06:04,,,,4,https://imagenes.feb.es/foto.aspx?c=2533871,2533871,10901167,981343,shoot,00000000-0000-0001-0000-000002486352,10901167,,0,1,3,,16,,,69.74612064649145|21.300603164609363
473,(SÚPER AGROPAL PALENCIA) M. KAMBA: ROBO (Robos: 1),1,06:12,,,,4,https://imagenes.feb.es/foto.aspx?c=2734950,2734950,10901162,981343,recovery,00000000-0000-0001-0000-000002486352,10901162,,,,,,,,,
472,(INVEREADY GIPUZKOA) T. MCGHIE: PÉRDIDA (Pérdidas: 3),2,06:12,,,,4,https://imagenes.feb.es/foto.aspx?c=2814207,2814207,10884423,981203,lose,00000000-0000-0002-0000-000002486352,0,,10884423,,,,,,,
471,(SÚPER AGROPAL PALENCIA) X. OROZ URIA: Sustitución (Entra a pista),1,06:30,,,,4,https://imagenes.feb.es/foto.aspx?c=1750421,1750421,10901164,981343,subst,00000000-0000-0001-0000-000002486352,,10901164,,,,,,,,
470,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: Sustitución (Sale de pista),2,06:30,,,,4,https://imagenes.feb.es/foto.aspx?c=1988355,1988355,10884414,981203,subst,00000000-0000-0002-0000-000002486352,10884414,,,,,,,,,
469,(INVEREADY GIPUZKOA) T. MCGHIE: Sustitución (Entra a pista),2,06:30,,,,4,https://imagenes.feb.es/foto.aspx?c=2814207,2814207,10884423,981203,subst,00000000-0000-0002-0000-000002486352,,10884423,,,,,,,,
468,(SÚPER AGROPAL PALENCIA) A. KUNKEL: Sustitución (Sale de pista),1,06:30,,,,4,https://imagenes.feb.es/foto.aspx?c=2734949,2734949,10901163,981343,subst,00000000-0000-0001-0000-000002486352,10901163,,,,,,,,,
467,(SÚPER AGROPAL PALENCIA) A. KUNKEL: TIRO DE 1 ANOTADO (Puntos: 19),1,06:30,,52,62,4,https://imagenes.feb.es/foto.aspx?c=2734949,2734949,10901163,981343,fthrow,00000000-0000-0001-0000-000002486352,10901163,1,1,,1,0,,,,
466,(SÚPER AGROPAL PALENCIA) A. KUNKEL: TIRO DE 1 FALLADO,1,06:30,,,,4,https://imagenes.feb.es/foto.aspx?c=2734949,2734949,10901163,981343,fthrow,00000000-0000-0001-0000-000002486352,10901163,0,0,,1,0,,,,
465,(INVEREADY GIPUZKOA) O. HANZLIK: FALTA Personal (Faltas: 2. Faltas de equipo: 24). Tiros libres: 2,2,06:30,,,,4,https://imagenes.feb.es/foto.aspx?c=2678649,2678649,10884420,981203,foul,00000000-0000-0002-0000-000002486352,10884420,1,10901163,1,2,0,,,1,
464,(INVEREADY GIPUZKOA) T. MCGHIE: Sustitución (Sale de pista),2,06:30,,,,4,https://imagenes.feb.es/foto.aspx?c=2814207,2814207,10884423,981203,subst,00000000-0000-0002-0000-000002486352,10884423,,,,,,,,,
